family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Agaristidae	Seudyra	subflava	Seudyra subflava	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Seudyra subflava	NA	NA
Amathusiidae	Faunis	eumeus	Faunis eumeus	29	29	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Faunis eumeus	NA	NA
Arctiidae	Abraxas	grossulariata	Abraxas grossulariata	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Abraxas grossulariatus	Abraxas grossulariatus	1007343
Arctiidae	Abraxas	grossulariata dohrnii	Abraxas grossulariata dohrnii	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Abraxas grossulariata dohrnii	NA	NA
Arctiidae	Apantesis	phalerata	Apantesis phalerata	29	29	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Apantesis phalerata	NA	500498
Arctiidae	Apantesis	radians	Apantesis radians	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Apantesis radians	NA	NA
Arctiidae	Arctia	caja	Arctia caja	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Arctia caja	NA	289281
Arctiidae	Arctia	caja phaesoma	Arctia caja phaesoma	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia caja phaesoma	NA	NA
Arctiidae	Arctia	hebe	Arctia hebe	30-33	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia hebe	NA	NA
Arctiidae	Cycnial	mendica	Cycnial mendica	26	26	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cycnial mendica	NA	NA
Arctiidae	Diaphora	mendica	Diaphora mendica	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Diaphora mendica	NA	987922
Arctiidae	Earias	fabia	Earias fabia	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Earias fabia	NA	NA
Arctiidae	Earias	insulara	Earias insulara	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Earias insulara	NA	NA
