species	TOLiD	ncbi_taxon_id	Long Read 	Proximity Ligation (HiC/OmniC	RNA Sequencing 	long_list	other_priority	family_representative	contributing_project_lab	sequencing_status	sample_collected	in_progress	insdc_open	published	sample_acquired
Leptodirus hochenwartii	icLepHoch	1457097	insdc_open	insdc_open	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	insdc_open	ERGA-PIL	ERGA-PIL	ERGA-PIL		ERGA-PIL
Silurus aristotelis	fSilAri	933932	insdc_open	insdc_open	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	insdc_open	ERGA-PIL	ERGA-PIL	ERGA-PIL		ERGA-PIL
Vipera ursinii rakosiensis	rVipUrs	103942	insdc_open	insdc_open	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	insdc_open	ERGA-PIL	ERGA-PIL	ERGA-PIL		ERGA-PIL
Haliaeetus albicilla	bHalAlb	8969	insdc_open	insdc_open		ERGA-PIL	ERGA-PIL		ERGA-PILOT	insdc_open	ERGA-PIL	ERGA-PIL	ERGA-PIL		ERGA-PIL
Tripterygion tripteronotum	fTriTrp	152555	in_progress	in_progress	sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Mullus barbatus	fMulBar	37007	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Alburnus alburnus	fAlbAlb	54556	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Phaeosaccion multiseriatum	uoPhaMult	2797544	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Anaecypris hispanica	fAnaHis	71183	in_progress	in_progress	sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Hottonia palustris	ddHotPalu	175037	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Lepus granatensis	mLepGra	100182	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Gordius albopunctatus	tfGorAlbo	57293	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Phakellia ventilabrum	odPhaVent	942649	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Andrena humilis	iyAndHumi,iyAndHumi,iyAndHumi	1542565	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Carabus intricatus	icCarIntr,icCarIntr	49289	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Carabus granulatus	icCarGran,icCarGran	118799	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Osmia cornuta	iyOsmCorn,iyOsmCorn	185587	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Epeorus assimilis	ieEpeAssi,ieEpeAssi	1566317	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Lepus timidus	mLepTim	62621	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Lepus europaeus	mLepEur	9983	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Alopecurus aequalis	lpAloAequ	114194	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Cladonia norvegica	glClaNorv	2873768	sample_collected	sample_collected	sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	sample_collected	ERGA-PIL				
