	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
0	Abeillia abeillei		Emerald-chinned Hummingbird	Trochilidae		B10K	B10K	B10K	nan	in_progress	B10K		
1	Abrornis chloronotus		Lemon-rumped Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
2	Abrornis forresti		Forrest's Leaf Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
3	Abrornis humei		Hume's Leaf Warbler	Phylloscopidae		B10K	B10K	B10K	nan	in_progress	B10K		
4	Abrornis inornata		Yellow-browed Warbler	Phylloscopidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
5	Abrornis kansuensis		Gansu Leaf Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
6	Abrornis maculipennis		Ashy-throated Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
7	Abrornis proregulus	proregulus	Pallas's Leaf Warbler	Phylloscopidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
8	Abrornis proregulus		Pallas's Leaf Warbler	Phylloscopidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
9	Abrornis pulchra		Buff-barred Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
10	Abrornis subviridis		Brooks's Leaf Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
11	Abrornis yunnanensis		Chinese Leaf Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
12	Abroscopus albogularis		Rufous-faced Warbler	Scotocercidae		nan	nan	nan	nan	nan	B10K		
13	Abroscopus schisticeps		Black-faced Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
14	Abroscopus superciliaris		Yellow-bellied Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
15	Aburria aburri		Wattled Guan	Cracidae		nan	nan	nan	nan	nan	B10K		
16	Acanthagenys rufogularis		Spiny-cheeked Honeyeater	Meliphagidae		nan	nan	nan	nan	nan	B10K		
17	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
18	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
19	Acanthis hornemanni		Arctic Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
20	Acanthis johannis		Warsangli Linnet	Fringillidae		nan	nan	nan	nan	nan	B10K		
21	Acanthis yemenensis		Yemen Linnet	Fringillidae		nan	nan	nan	nan	nan	B10K		
22	Acanthisitta chloris		Rifleman	Acanthisittidae	Phase Order	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
23	Acanthiza apicalis		Inland Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
24	Acanthiza chrysorrhoa		Yellow-rumped Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
25	Acanthiza cinerea		Grey Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
26	Acanthiza ewingii		Tasmanian Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
27	Acanthiza inornata		Western Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
28	Acanthiza iredalei		Slender-billed Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
29	Acanthiza katherina		Mountain Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
30	Acanthiza lineata		Striated Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
31	Acanthiza murina		Papuan Thornbill	Acanthizidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
32	Acanthiza nana		Yellow Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
33	Acanthiza pusilla		Brown Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
34	Acanthiza reguloides		Buff-rumped Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
35	Acanthiza robustirostris		Slaty-backed Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
36	Acanthiza uropygialis		Chestnut-rumped Thornbill	Acanthizidae		nan	nan	nan	nan	nan	B10K		
37	Acanthoptila nipalensis		Spiny Babbler	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
38	Acanthorhynchus superciliosus		Western Spinebill	Meliphagidae		B10K	B10K	B10K	nan	in_progress	B10K		
39	Acanthorhynchus tenuirostris		Eastern Spinebill	Meliphagidae		nan	nan	nan	nan	nan	B10K		
40	Acanthornis magna		Scrubtit	Acanthizidae		nan	nan	nan	nan	nan	B10K		
41	Accipiter albogularis		Pied Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
42	Accipiter badius		Shikra	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
43	Accipiter bicolor		Bicolored Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
44	Accipiter brachyurus		New Britain Sparrowhawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
45	Accipiter brevipes		Levant Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
46	Accipiter butleri		Nicobar Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
47	Accipiter castanilius		Chestnut-flanked Sparrowhawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
48	Accipiter cirrocephalus		Collared Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
49	Accipiter collaris		Semicollared Hawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
50	Accipiter cooperii		Cooper's Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
51	Accipiter erythrauchen		Rufous-necked Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
52	Accipiter erythropus		Red-thighed Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
53	Accipiter fasciatus		Brown Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
54	Accipiter francesiae		Frances's Sparrowhawk	Accipitridae		B10K	nan	nan	nan	sample_collected	B10K		
55	Accipiter gentilis		Northern Goshawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
56	Accipiter gentilis		Northern Goshawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
57	Accipiter griseiceps		Sulawesi Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
58	Accipiter gularis		Japanese Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
59	Accipiter gundlachi		Gundlach's Hawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
60	Accipiter haplochrous		White-bellied Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
