ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	in_progress	sample_collected	published	insdc_open	sample_acquired
36325	Stereoderma unisemita			long_list			CANBP							
7671	Strongylocentrotus droebachiensis		Strongylocentrotidae	long_list		green sea urchin	CANBP							
7670	Strongylocentrotus pallidus		Strongylocentrotidae	long_list		pale sea urchin	CANBP							
869205	Thyonidium drummondii		Phyllophoridae	long_list			CANBP							
8467	Caretta caretta		Cheloniidae	long_list	in_progress	Loggerhead Sea Turtle	CANBP			CANBP	CANBP			CANBP
174045	Cladonia stellaris		Cladoniaceae	long_list	in_progress		CANBP			CANBP	CANBP			CANBP
520985	Coregonus huntsmani		Salmonidae	other_priority	in_progress	Atlantic Whitefish	CANBP		CANBP	CANBP	CANBP			CANBP
1920004	Cyrtodaria siliqua		Hiatellidae	long_list	in_progress	Northern Propeller Clam	CANBP			CANBP	CANBP			CANBP
1265871	Doris montereyensis 			long_list	in_progress	Monterey Sea Lemon	CANBP			CANBP	CANBP			CANBP
40440	Echinodontium tinctorium		Echinodontiaceae	long_list	sample_collected		CANBP				CANBP			
31204	Mactromeris polynyma		Mactridae	other_priority	in_progress	Arctic Surfclam	CANBP		CANBP	CANBP	CANBP			CANBP
210640	Moxostoma hubbsi		Catostomidae	long_list	in_progress	Copper Redhorse	CANBP			CANBP	CANBP			CANBP
8036	Salvelinus alpinus		Salmonidae	long_list	in_progress	Arctic Char	CANBP			CANBP	CANBP			CANBP
1548725	Serripes groenlandicus		Cardiidae	long_list	in_progress	Greenland Cockle	CANBP			CANBP	CANBP			CANBP
7798	Squalus suckleyi		Squalidae	long_list	in_progress	Pacific Spiny Dogfish	CANBP			CANBP	CANBP			CANBP
371067	Acarospora fuscata		Acarosporaceae	long_list	sample_collected		CANBP				CANBP			
88748	Acarospora schleicheri		Acarosporaceae	long_list	sample_collected		CANBP				CANBP			
91803	Anamylopsora pulcherrima		Anamylopsoraceae	long_list			CANBP							
463158	Anaptychia crinalis		Physciaceae	long_list	sample_collected		CANBP				CANBP			
980802	Arthonia patellulata		Arthoniaceae	long_list			CANBP							
39680	Arthonia radiata		Arthoniaceae	long_list			CANBP							
87255	Bryoria capillaris		Parmeliaceae	long_list			CANBP							
283295	Bryoria fremontii		Parmeliaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
797576	Bryoria furcellata		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
172611	Bryoria fuscescens		Parmeliaceae	other_priority			CANBP		CANBP					
889399	Bryoria lanestris		Parmeliaceae	other_priority			CANBP		CANBP					
1507425	Bryoria pikei		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
798218	Bryoria simplicior		Parmeliaceae	long_list			CANBP							
262420	Calicium trabinellum		Caliciaceae	long_list	sample_collected		CANBP				CANBP			
399402	Calvitimela aglaea		Tephromelataceae	long_list	sample_collected		CANBP				CANBP			
104250	Candelaria concolor		Candelariaceae	long_list	sample_collected		CANBP				CANBP			
460848	Candelaria pacifica		Candelariaceae	long_list			CANBP							
318757	Candelariella aurella		Candelariaceae	long_list	sample_collected		CANBP				CANBP			
271883	Candelariella vitellina		Candelariaceae	long_list	sample_collected		CANBP				CANBP			
164571	Chaenotheca trichialis		Coniocybaceae	long_list	sample_collected		CANBP				CANBP			
2816336	Chrysothrix chlorina		Chrysotrichaceae	long_list	sample_collected		CANBP				CANBP			
174045	Cladonia stellaris		Cladoniaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
301477	Coccocarpia palmicola		Coccocarpiaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
289264	Cresponea chloroconia			long_list	sample_collected		CANBP				CANBP			
1798757	Cyphobasidium hypogymniicola		Cyphobasidiaceae	long_list	sample_collected		CANBP				CANBP			
112443	Dactylina arctica		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
281306	Dolichousnea longissima		Parmeliaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
174421	Ephebe lanestris			long_list	sample_collected		CANBP				CANBP			
1542750	Felipes leucopellaeus			long_list	sample_collected		CANBP				CANBP			
95627	Flavocetraria nivalis		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
1507907	Geltingia associata		Helicogoniaceae	long_list	sample_collected		CANBP				CANBP			
71600	Graphis scripta		Graphidaceae	long_list	sample_collected		CANBP				CANBP			
157479	Heppia		Heppiaceae	long_list			CANBP							
260199	Heterodermia japonica		Physciaceae	long_list	sample_collected		CANBP				CANBP			
5014	Homostegia piggotii			long_list	sample_collected		CANBP				CANBP			
468105	Hydropunctaria maura		Verrucariaceae	long_list			CANBP							
933962	Hypogymnia austerodes		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
87258	Hypogymnia dichroma			long_list			CANBP							
87258	Hypogymnia protea			long_list			CANBP							
346643	Hypogymnia tubulosa		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
196135	Ionaspis lacustris		Hymeneliaceae	long_list	sample_collected		CANBP				CANBP			
39934	Lecanora insignis			long_list			CANBP							
273118	Lecidea atrobrunnea		Lecideaceae	long_list	sample_collected		CANBP				CANBP			
88631	Lecidea erythrophaea		Lecideaceae	long_list			CANBP							
262918	Lecidea tessellata		Lecideaceae	long_list	sample_collected		CANBP				CANBP			
168913	Lempholemma		Lichinaceae	long_list	sample_collected		CANBP				CANBP			
1986326	Lepra dactylina			long_list	sample_collected		CANBP				CANBP			
209122	Lepraria brodoi			long_list			CANBP							
1340004	Lepraria subalbicans		Stereocaulaceae	long_list			CANBP							
124742	Masonhalea richardsonii		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
161978	Massalongia carnosa		Massalongiaceae	long_list			CANBP							
998215	Melanelixia albertana		Parmeliaceae	long_list			CANBP							
284103	Micarea peliocarpa		Micareaceae	long_list	sample_collected		CANBP				CANBP			
40107	Multiclavula mucida		Clavulinaceae	long_list	sample_collected		CANBP				CANBP			
1010605	Mycoblastus sanguinarioides		Mycoblastaceae	long_list	sample_collected		CANBP				CANBP			
48859	Nephroma arcticum		Nephromataceae	long_list	sample_collected		CANBP				CANBP			
58520	Nephroma expallidum		Nephromataceae	long_list	sample_collected		CANBP				CANBP			
1445009	Niorma chrysophthalma		Teloschistaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
869219	Normandina pulchella		Verrucariaceae	long_list	sample_collected		CANBP				CANBP			
170009	Ochrolechia upsaliensis		Ochrolechiaceae	long_list	sample_collected		CANBP				CANBP			
394537	Ochrolechia yasudae		Ochrolechiaceae	long_list	sample_collected		CANBP				CANBP			
1344013	Pannaria lurida		Pannariaceae	long_list			CANBP							
1963815	Pectenia plumbea		Pannariaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
157480	Peltula		Peltulaceae	long_list			CANBP							
2840243	Pertusaria macounii		Pertusariaceae	long_list	sample_collected		CANBP				CANBP			
316251	Phaeocalicium populneum		Mycocaliciaceae	long_list	sample_collected		CANBP				CANBP			
2054620	Phlyctis petraea		Phlyctidaceae	long_list	sample_collected		CANBP				CANBP			
51978	Pilophorus acicularis		Cladoniaceae	long_list	sample_collected		CANBP				CANBP			
78070	Platismatia glauca		Parmeliaceae	long_list	sample_collected		CANBP				CANBP			
1542829	Plectocarpon lichenum		Lecanographaceae	long_list			CANBP							
318763	Pleopsidium flavum		Acarosporaceae	long_list			CANBP							
1531375	Porpidia flavicunda		Lecideaceae	long_list	sample_collected		CANBP				CANBP			
111721	Psora decipiens		Psoraceae	long_list			CANBP							
88642	Rhizocarpon geographicum		Rhizocarpaceae	long_list	sample_collected		CANBP				CANBP			
2696960	Rhizoplaca opiniconensis		Lecanoraceae	long_list			CANBP							
286402	Sarcogyne regularis		Acarosporaceae	long_list	sample_collected		CANBP				CANBP			
1172109	Sclerococcum suburceolatum			long_list			CANBP							
1300017	Seirophora aurantiaca		Teloschistaceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
53373	Siphula ceratites		Icmadophilaceae	long_list	sample_collected		CANBP				CANBP			
48864	Solorina crocea		Peltigeraceae	long_list	sample_collected		CANBP				CANBP			
40600	Sphaerophorus globosus		Sphaerophoraceae	other_priority	sample_collected		CANBP		CANBP		CANBP			
57084	Sphinctrina anglica		Sphinctrinaceae	long_list			CANBP							
1301572	Squamulea galactophylla		Teloschistaceae	long_list	sample_collected		CANBP				CANBP			
373725	Stereocaulon condensatum		Stereocaulaceae	long_list	sample_collected		CANBP				CANBP			
50940	Stereocaulon paschale		Stereocaulaceae	long_list	sample_collected		CANBP				CANBP			
83470	Stereocaulon vesuvianum		Stereocaulaceae	long_list	sample_collected		CANBP				CANBP			
83480	Thamnolia vermicularis		Icmadophilaceae	long_list	sample_collected		CANBP				CANBP			
129519	Trapeliopsis granulosa		Trapeliaceae	long_list	sample_collected		CANBP				CANBP			
129547	Trapeliopsis pseudogranulosa		Trapeliaceae	long_list	sample_collected		CANBP				CANBP			
87274	Umbilicaria cylindrica		Umbilicariaceae	long_list	sample_collected		CANBP				CANBP			
209631	Acrochaetium secundatum		Acrochaetiaceae	long_list	sample_collected		CANBP				CANBP			
221830	Acrosiphonia spinescens		Ulotrichaceae	long_list			CANBP							
105404	Agarum clathratum		Agaraceae	long_list			CANBP							
28022	Ahnfeltia		Ahnfeltiaceae	long_list			CANBP							
2889	Alaria esculenta		Alariaceae	long_list	sample_collected		CANBP				CANBP			
122415	Antithamnionella floccosa		Ceramiaceae	long_list	sample_collected		CANBP				CANBP			
52969	Ascophyllum nodosum		Fucaceae	long_list			CANBP							
133507	Asperococcus fistulosus		Chordariaceae	long_list	sample_collected		CANBP				CANBP			
31347	Bangia atropurpurea		Bangiaceae	long_list	sample_collected		CANBP				CANBP			
1053098	Bangia sp. 1Ban		Bangiaceae	long_list	sample_collected		CANBP				CANBP			
1053099	Bangia sp. 2Ban		Bangiaceae	long_list	sample_collected		CANBP				CANBP			
31369	Bonnemaisonia hamifera		Bonnemaisoniaceae	long_list	sample_collected		CANBP				CANBP			
2364640	Bossiella mayae		Corallinaceae	long_list			CANBP							
48615	Bossiella orbigniana		Corallinaceae	long_list			CANBP							
325651	Bryopsis corticulans		Bryopsidaceae	long_list			CANBP							
48942	Calliarthron tuberculosum		Corallinaceae	long_list			CANBP							
1766718	Chamberlainium tumidum		Corallinaceae	long_list			CANBP							
162068	Cladophora glomerata		Cladophoraceae	long_list	sample_collected		CANBP				CANBP			
48606	Clathromorphum compactum		Mesophyllumaceae	long_list			CANBP							
661322	Coccotylus		Phyllophoraceae	long_list			CANBP							
661323	Coccotylus truncatus		Phyllophoraceae	long_list			CANBP							
3133	Codium fragile		Codiaceae	long_list			CANBP							
325655	Codium fragile subsp. tomentosoides	tomentosoides	Codiaceae	long_list			CANBP							
2582857	Corallina chilensis		Corallinaceae	long_list			CANBP							
1086050	Corallina vancouveriensis		Corallinaceae	long_list			CANBP							
1883121	Crusticorallina muricata		Corallinaceae	long_list			CANBP							
1205903	Desmarestia herbacea		Desmarestiaceae	long_list			CANBP							
62313	Desmarestia viridis		Desmarestiaceae	long_list	sample_collected		CANBP				CANBP			
35202	Devaleraea ramentacea		Palmariaceae	long_list			CANBP							
142488	Dilsea socialis		Dumontiaceae	long_list			CANBP							
35151	Erythrotrichia carnea		Erythrotrichiaceae	long_list	sample_collected		CANBP				CANBP			
3012	Fucus distichus		Fucaceae	long_list	sample_collected		CANBP				CANBP			
2724434	Hedophyllum nigripes		Laminariaceae	long_list			CANBP							
31479	Hildenbrandia sp.		Hildenbrandiaceae	long_list			CANBP							
80365	Laminaria digitata		Laminariaceae	long_list	sample_collected		CANBP				CANBP			
309363	Laminaria solidungula		Laminariaceae	long_list	sample_collected		CANBP				CANBP			
48599	Lithothamnion glaciale		Hapalidiaceae	long_list			CANBP							
1088766	Mastocarpus agardhii		Phyllophoraceae	long_list			CANBP							
1088769	Mastocarpus alaskensis		Phyllophoraceae	long_list			CANBP							
1088772	Mastocarpus intermedius		Phyllophoraceae	long_list			CANBP							
1088773	Mastocarpus latissimus		Phyllophoraceae	long_list			CANBP							
40811	Nitellopsis obtusa		Characeae	long_list	sample_collected		CANBP				CANBP			
1240992	Odonthalia dentata		Rhodomelaceae	long_list			CANBP							
2822	Palmaria palmata		Palmariaceae	long_list	sample_collected		CANBP				CANBP			
173456	Peyssonnelia sp.		Peyssonneliaceae	long_list			CANBP							
35160	Phycodrys		Delesseriaceae	long_list			CANBP							
881573	Phycodrys fimbriata		Delesseriaceae	long_list			CANBP							
1064565	Porphyra corallicola		Bangiaceae	long_list	sample_collected		CANBP				CANBP			
105414	Postelsia palmaeformis		Laminariaceae	long_list	sample_collected		CANBP				CANBP			
169782	Pterygophora californica		Alariaceae	long_list	sample_collected		CANBP				CANBP			
39576	Rhodochorton purpureum		Acrochaetiaceae	long_list	sample_collected		CANBP				CANBP			
702329	Rubrointrusa membranacea		Meiodiscaceae	long_list	sample_collected		CANBP				CANBP			
169779	Saccharina sessilis		Laminariaceae	long_list	sample_collected		CANBP				CANBP			
74468	Sargassum muticum		Sargassaceae	long_list	sample_collected		CANBP				CANBP			
173376	Trentepohlia aurea		Trentepohliaceae	long_list			CANBP							
647945	Trentepohlia flava		Trentepohliaceae	long_list			CANBP							
1241584	Ulothrix flacca		Ulotrichaceae	long_list			CANBP							
83795	Ulva fenestrata		Ulvaceae	long_list			CANBP							
1261582	Vertebrata lanosa		Rhodomelaceae	long_list			CANBP							
27602	Balaena mysticetus		Balaenidae	other_priority		Bowhead whale	CANBP		CANBP					
9768	Balaenoptera borealis		Balaenopteridae	other_priority		Sei whale	CANBP		CANBP					
48742	Berardius bairdii		Ziphiidae	long_list		Baird's beaked whale	CANBP							
9387	Blarina brevicauda		Soricidae	long_list		Northern short-tailed shrew	CANBP							
76772	Callospermophilus lateralis		Sciuridae	long_list		Golden-mantled ground squirrel	CANBP							
99858	Callospermophilus saturatus		Sciuridae	long_list		Cascade golden-mantled ground squirrel	CANBP							
9614	Canis latrans		Canidae	long_list		Coyote	CANBP							
1320375	Canis lupus arctos		Canidae	long_list		Arctic wolf	CANBP							
676787	Canis lupus labradorius		Canidae	long_list		Labrador wolf	CANBP							
228401	Canis lupus lycaon		Canidae	other_priority		Algonquin wolf/Eastern wolf	CANBP		CANBP					
124745	Corynorhinus townsendii		Vespertilionidae	other_priority		Townsend's big-eared bat	CANBP		CANBP					
45480	Cynomys ludovicianus		Sciuridae	other_priority		Black-tailed prairie dog	CANBP		CANBP					
45480	Cynomys ludovicianus		Sciuridae	long_list		Black-tailed prairie dogs	CANBP							
39293	Cystophora cristata		Phocidae	long_list		Hooded seal	CANBP							
9728	Delphinus delphis		Delphinidae	long_list		Short-beaked common dolphin	CANBP							
85953	Dicrostonyx groenlandicus		Cricetidae	long_list		Northern collared lemming	CANBP							
92538	Dicrostonyx hudsonius		Cricetidae	long_list		Ungava collared lemming	CANBP							
92537	Dicrostonyx richardsoni		Cricetidae	long_list		Richardson's collared lemming	CANBP							
9267	Didelphis virginiana		Didelphidae	long_list		North American/Virginia opossum	CANBP							
10020	Dipodomys ordii		Heteromyidae	long_list		Ord’s kangaroo rat	CANBP							
39304	Erignathus barbatus		Phocidae	long_list		Bearded seal	CANBP							
27606	Eubalaena glacialis		Balaenidae	other_priority		North Atlantic right whale	CANBP		CANBP					
153291	Euderma maculatum		Vespertilionidae	other_priority		Spotted bat	CANBP		CANBP					
27682	Geomys bursarius		Geomyidae	long_list		Plains pocket gopher	CANBP							
2136295	Glaucomys oregonensis		Sciuridae	long_list		Humboldt's flying squirrel	CANBP							
45482	Glaucomys sabrinus		Sciuridae	long_list		Northern flying squirrel	CANBP							
38241	Globicephala macrorhynchus		Delphinidae	long_list		Short-finned pilot whale	CANBP							
48420	Gulo gulo		Mustelidae	long_list		Wolverine	CANBP							
48744	Hyperoodon ampullatus		Ziphiidae	other_priority		Northern bottlenose whale	CANBP		CANBP					
27610	Lagenorhynchus albirostris		Delphinidae	long_list		White-beaked dolphin	CANBP							
90246	Lagenorhynchus acutus		Delphinidae	long_list		Atlantic white-sided dolphin	CANBP							
90247	Lagenorhynchus obliquidens		Delphinidae	long_list		Pacific white-sided dolphin	CANBP							
27667	Lasionycteris noctivagans		Vespertilionidae	other_priority		Silver-haired bat	CANBP		CANBP					
258932	Lasiurus blossevillii		Vespertilionidae	long_list		Western red bat	CANBP							
663699	Lemmiscus curtatus		Cricetidae	long_list		Sagebrush vole	CANBP							
84770	Lemmus trimucronatus		Cricetidae	long_list		North American brown lemming	CANBP							
62618	Lepus arcticus		Leporidae	long_list		Arctic hare	CANBP							
63225	Lepus townsendii		Leporidae	other_priority		White-tailed jackrabbit	CANBP		CANBP					
90246	Leucopleurus acutus			long_list		Atlantic white-sided dolphin	CANBP							
61384	Lynx rufus		Felidae	other_priority		Bobcat	CANBP		CANBP					
93160	Marmota caligata		Sciuridae	long_list		Hoary marmot	CANBP							
93167	Marmota vancouverensis		Sciuridae	long_list		Vancouver Island marmot	CANBP							
9660	Martes americana		Mustelidae	other_priority		American marten	CANBP		CANBP					
9660	Martes americana		Mustelidae	long_list		American marten	CANBP							
166293	Martes americana caurina	caurina	Mustelidae	long_list		Pacific marten	CANBP							
30548	Mephitis mephitis		Mephitidae	long_list		Striped skunk	CANBP							
9758	Mesoplodon carlhubbsi		Ziphiidae	long_list		Hubbs' beaked whale	CANBP							
52114	Mesoplodon stejnegeri		Ziphiidae	long_list		Stejneger's beaked whale	CANBP							
10055	Microtus chrotorrhinus		Cricetidae	other_priority		Rock vole	CANBP		CANBP					
98314	Microtus longicaudus		Cricetidae	long_list		Long-tailed vole	CANBP							
111837	Microtus miurus		Cricetidae	long_list		Singing vole	CANBP							
10058	Microtus pennsylvanicus		Cricetidae	long_list		Meadow vole	CANBP							
111839	Microtus pinetorum		Cricetidae	other_priority		Woodland vole	CANBP		CANBP					
111841	Microtus townsendii		Cricetidae	other_priority		Townsend's vole	CANBP		CANBP					
10054	Microtus xanthognathus		Cricetidae	long_list		Taiga vole	CANBP							
36723	Mustela erminea		Mustelidae	long_list		Ermine	CANBP							
2599796	Mustela haidarum		Mustelidae	other_priority		Haida ermine	CANBP		CANBP					
77151	Mustela nigripes		Mustelidae	other_priority		Black-footed ferret	CANBP		CANBP					
77151	Mustela nigripes		Mustelidae	long_list		Black-footed ferret	CANBP							
2599797	Mustela richardsonii		Mustelidae	other_priority		American ermine	CANBP		CANBP					
473866	Myodes gapperi		Cricetidae	other_priority		Southern red-backed vole	CANBP		CANBP					
537920	Myodes rutilus		Cricetidae	long_list		Northern red-backed vole	CANBP							
257882	Myotis californicus		Vespertilionidae	long_list		California bat	CANBP							
257884	Myotis ciliolabrum		Vespertilionidae	other_priority		Western small-footed bat	CANBP		CANBP					
257883	Myotis evotis		Vespertilionidae	other_priority		Long-eared bat	CANBP		CANBP					
257881	Myotis keenii		Vespertilionidae	long_list		Keen's bat	CANBP							
27668	Myotis leibii		Vespertilionidae	other_priority		Eastern small-footed bat	CANBP		CANBP					
258941	Myotis septentrionalis		Vespertilionidae	other_priority		Northern long-eared bat	CANBP		CANBP					
153287	Myotis thysanodes		Vespertilionidae	other_priority		Fringed myotis	CANBP		CANBP					
159335	Myotis volans		Vespertilionidae	long_list		Long-legged bat	CANBP							
159337	Myotis yumanensis		Vespertilionidae	long_list		Yuma bat	CANBP							
101671	Napaeozapus insignis		Dipodidae	long_list		Woodland jumping mouse	CANBP							
