"Order","Family","Species","Diploid.number","Fundamental.number","Sex.chromosome","Ploidy","Max.Bs","Microchromosomes","Notes","Original.listing","Citation"
"Anura","Alsodidae","Alsodes aff vittatus","26","52","","","","","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alytidae","Discoglossus galganoi galganoi","28","56","","","","","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Alytidae","Discoglossus pictus auritus","28","","","","","","","","Amor, N., Aprea, G., Chatti, N., Farjallah, S., Odierna, G. and Said, K., 2007. Karyological analysis of four Tunisian species of Anura (Amphibia). African Zoology, 42(2), pp.268-278."
"Anura","Alytidae","Discoglossus pictus pictus","28","56","","","","","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Aromobatidae","Aromobates leopardalis","24","48","","","","","","Colostethus leopardalis","Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
"Anura","Aromobatidae","Mannophryne neblina","24","48","","","","","","","Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
"Anura","Arthroleptidae","Arthroleptis sp","14","28","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Batrachylidae","Atelognathus praebasalticus","26","","","","","","","Telmatobius praebasalticus","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Bufonidae","Anaxyrus compactilis","22","44","","","","","","Bufo compactilis","Bogart, J. P. 1972. Karyotypes. In: W. F. Blair (ed.), Evolution in the Genus Bufo. Univ. Texas Press, Austin pp. 171-195, Appendix, pp. 361-381."
"Anura","Bufonidae","Bufo ailaoanus","22","44","","","","","","","Shushen, Li, 2007 Cytotaxonomy of amphians in China, Beijing : Ke xue chu ban she"
"Anura","Bufonidae","Bufo gargarizans gargarizans","22","44","","","","","","Bufo andrewsi","Shushen, Li, 2007 Cytotaxonomy of amphians in China, Beijing : Ke xue chu ban she"
"Anura","Bufonidae","Bufo sp","30","","","3","","","possibly B. poweri","","Schmid, M. 1978. Chromsome banding in amphibia. I. Constitutive heterochromatin and nucleolus organizer regions in Bufo and Hyla. Chromosoma 66: 361-388."
"Anura","Bufonidae","Bufotes oblongus oblongus","44","","","4","","","","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Bufonidae","Bufotes pewzowi pewzowi","44","","","4","","","","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Bufonidae","Bufotes pewzowi strauchi","44","","","4","","","","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Bufonidae","Bufotes pewzowi taxkorensis","44","","","4","","","","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Bufonidae","Bufotes pewzowi unicolor","44","","","4","","","","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Bufonidae","Melanophryniscus cf tumifrons","22","44","","","","","","","Baldo, D., Cotichelli, L., Pereyra, M.O., Borteiro, C., Netto, F., Kolenc, F., Brusquetti, F. and Bidau, C., 2012. A cytotaxonomic survey of the genus Melanophryniscus Gallardo, 1961 (Anura: Bufonidae). Journal of Herpetology, pp.25-32."
