subfamily	tribe	genus	species	sample_locality	countryies	haploidn	diploid2n	karyotype	notes	genome_size_pg	classic_cytogenetic_data	molecular_cytogenetic_data	references	family	ploidy
Apinae	Euglossini	Euglossa	sp.	Viçosa, Minas Gerais	Brazil	21					Ag-NOR			Apidae	1,2
Apinae	Isepeolini 	Isepeolus	viperinus	Curitiba, Paraná	Brazil	16								Apidae	1,2
Apinae	Meliponini	Celetrigona	longicornis	Nova Xavantina, Mato Grosso	Brazil		30	2k= 18metacentric + 12submetacentric		0.46-0.49			Cunhaetal2021	Apidae	1,2
Apinae	Meliponini	Duckeola	ghiliani	Presidente Figueiredo and Manaus, Amazonas	Brazil	15	30	2k= 14metacentric + 12submetacentric + 4subtelocentric	as Frieseomelitta (Duckeola) ghiliani	0.48	Giemsa		Cunhaetal2021	Apidae	1,2
Apinae	Meliponini	Frieseomelitta	meadewaldoi	Nova Ibiá, Bahia	Brazil		30	2k = 8metacentric + 4acrocentric + 18pseudo-acrocentric			C-banding	DAPI/CMA3; FISH (microsatellite probes)	Santosetal2018	Apidae	1,2
Apinae	Meliponini	Frieseomelitta	sp. n.	Jequié, Bahia	Brazil		30	2k = 4metacentric + 4acrocentric + 22pseudo-acrocentric		0.44	C-banding	DAPI/CMA3; FISH (microsatellite probes)	Santosetal2018	Apidae	1,2
Apinae	Meliponini	Frieseomelitta	sp.	Brasília, Distrito Federal	Brazil		30	2k = 18metacentric + 10submetacentric + 2subtelocentric			Giemsa			Apidae	1,2
Apinae	Meliponini	Frieseomelitta	sp.1	Presidente Figueiredo, Amazonas	Brazil		30	2k = 20metacentric + 10submetacentric		0.54	Giemsa			Apidae	1,2
Apinae	Meliponini	Frieseomelitta	sp.2	Iranduba, Amazonas	Brazil		30	2k = 20metacentric + 10submetacentric			Giemsa			Apidae	1,2
Apinae	Meliponini	Lestrimelitta	sp.	Domingos Martins, Espírito Santo	Brazil		28	2k= 18metacentric + 10submetacentric		0.463	Giemsa		Cunhaetal2021	Apidae	1,2
Apinae	Meliponini	Melipona	bicolor 	Cunha, São Paulo; Viçosa, Minas Gerais	Brazil	9	18	2k= 6metacentric + 8submetacentric + 4acrocentric		0.25-0.28	C-banding	DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribosomal probe, repetitive probe)	Rochaetal2002,Tavaresetal2010b,Tavaresetal2012,Andrade-Souzaetal2018,Travenzolietal2019a,Cunhaetal2020,Pereiraetal2021	Apidae	1,2
Apinae	Meliponini	Melipona	puncticollis 	Altamira, Pará	Brazil	9	18	2k= 4metacentric + 12submetacentric + 2acrocentric			C-banding	DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribosomal probe, repetitive probe)	Travenzolietal2019a,Cunhaetal2020,Pereiraetal2021	Apidae	1,2
Apinae	Meliponini	Melipona	rufiventris 	Guimarânia, Minas Gerais	Brazil	9	18	high heterochromatin content species	1 B chromosome has been described	0.93	C-banding	DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, chromosome painting, ribosomal probe, repetitive probe)	Lopesetal2009,Lopesetal2014,Travenzolietal2019a,Cunhaetal2020,Pereiraetal2021	Apidae	1,2
Apinae	Meliponini	Melipona	cf. rufiventris 	Iranduba, Amazonas	Brazil		18	high heterochromatin content species			Giemsa			Apidae	1,2
Apinae	Meliponini	Melipona	sp.	Brasília, Distrito Federal	Brazil		18	2k= 10metacentric + 6submetacentric + 2acrocentric			Giemsa			Apidae	1,2
Apinae	Meliponini	Meliponula	becarii	Massinga	Moçambique	17			as Meliplebeia becarii					Apidae	1,2
Apinae	Meliponini	Nannotrigona	sp.	Porto Seguro, Bahia	Brazil		34	2k= 20acrocentric + 14pseudo-acrocentric			C-banding	DAPI/CMA3		Apidae	1,2
Apinae	Meliponini	Nannotrigona	sp.	Xapuri, Acre	Brazil					0.45				Apidae	1,2
Apinae	Meliponini	Parapartamona	brevipilosa	Baeza and Cosanga, Napo	Ecuador		32	all metacentric or submetacentric						Apidae	1,2
Apinae	Meliponini	Parapartamona	zonata	Chiriboga and Tandayapa, Pichincha	Ecuador	16	32	all metacentric or submetacentric						Apidae	1,2
Apinae	Meliponini	Plebeia	sp.1	Viçosa, Minas Gerais	Brazil		34				Ag-NOR			Apidae	1,2
Apinae	Meliponini	Plebeia	sp.	Xapuri, Acre	Brazil					0.43-0.44				Apidae	1,2
Apinae	Meliponini	Plebeia	sp. nov.	Presidente Figueiredo, Amazonas	Brazil		34	2k= 6metacentric + 2submetacentric + 26subtelocentric		0.40	Giemsa			Apidae	1,2
Apinae	Meliponini	Scaptotrigona	cf. polysticta	Presidente Figueiredo, Amazonas	Brazil		34	2k= 8metacentric + 6submetacentris + 20subtelocentric		0.52	Giemsa			Apidae	1,2
Apinae	Meliponini	Scaptotrigona	sp.	São José do Sabugi, Paraíba	Brazil		34	2k= 18acrocentric + 16pseudo-acrocentric			C-banding	DAPI/CMA3		Apidae	1,2
Apinae	Meliponini	Scaptotrigona	sp.	Pará	Brazil		34	2k= 10metacentric + 6submetacentric + 18 subtelocentric			Giemsa			Apidae	1,2
Apinae	Meliponini	Schwarziana	sp.	Domingos Martins, Espírito Santo	Brazil					0.65				Apidae	1,2
Apinae	Meliponini	Trigonisca	sp.	Urbano Santos, Maranhão	Brazil	15	30	k= 4metacentric + 8submetacentric + 18subtelocentric			Giemsa			Apidae	1,2
Collectinae	Colletini	Colletes	babai	Rifu, Miyagi	Japan	16	32	k= 16pseudo-acrocentric			C-banding			Apidae	1,2
Collectinae	Colletini	Colletes	esakii	Daisen, Tottori	Japan	16		k= 15pseudo-acrocentric + 1acrocentric			C-banding			Apidae	1,2
Collectinae	Hylaeini	Hylaeus	affinis	Lake Placid, Florida	United States					0.64				Apidae	1,2
Collectinae	Hylaeini	Hylaeus	nippon	Matsue, Shimane	Japan	8		k= 1pseudo-acrocentric + 7metacentric			C-banding			Apidae	1,2
Collectinae	Hylaeini	Hylaeus	sp. 1	Rifu, Miyagi	Japan	18		k= 18metacentric			C-banding			Apidae	1,2
Collectinae	Hylaeini	Hylaeus	sp. 2	Rifu, Miyagi	Japan	28		k= 26pseudo-acrocentric + 2metacentric			C-banding			Apidae	1,2
Halictinae	Augochlorini	Augochloropsis	sparsilis	Curitiba, Paraná	Brazil	16								Apidae	1,2
Halictinae	Halictini	Lasioglossum	lineatulus	Ithaca, New York	United States	12	24	all metacentric or submetacentric	Dialictus lineatulus					Apidae	1,2
Halictinae	Halictini	Lasioglossum	rhytidophorus	Curitiba, Paraná	Brazil	6			as Lasioglossum (Dialictus) rhytidophorum					Apidae	1,2
Megachilinae	Anthidiini	Loyolanthidium	notatum	Orlando, Florida	United States				as Anthidiellum notatum rufimaculatum	0.48				Apidae	1,2
Megachilinae	Megachilini	Megachile	ainu	Matsue, Shimane	Japan	16		k= 16pseudo-acrocentric			C-banding			Apidae	1,2
Megachilinae	Megachilini	Megachile	albitarsis	Orlando, Florida	United States					0.80				Apidae	1,2
Megachilinae	Osmini	Osmia	cornifrons	Matsue, Shimane	Japan	16		k= 7pseudo-acrocentric + 9metacentric			C-banding			Apidae	1,2
Megachilinae	Osmini	Osmia	cornuta			16	32						KerrandLaidlaw1956	Apidae	1,2
Megachilinae	Osmini	Osmia	lignaria	Matsue, Shimane	Japan	16		k= 16pseudo-acrocentric	as Osmia lignaria propinqua		C-banding			Apidae	1,2
Megachilinae	Osmini	Osmia	taurus	Matsue, Shimane	Japan	16		k= 16pseudo-acrocentric			C-banding			Apidae	1,2
