Genus	species	taxid	family	long_list	other_priority	family_representative
# project_name DToL						
# subproject_name Vascular plant species						
# primary_contact Peter Hollingsworth						
# primary_contact_institution Royal Botanic Garden Edinburgh, EH3 5LR, UK						
# primary_contact_email phollingsworth@rbge.org.uk						
# schema_version DTOL_species_goat_2.0						
# date_of_update 2021-02-07						
Diphasiastrum	alpinum		Lycopodiaceae	DTOL	DTOL	DTOL
Huperzia	selago		Lycopodiaceae	DTOL		
Lycopodiella	inundata		Lycopodiaceae	DTOL		
Lycopodium	annotinum	13840	Lycopodiaceae	DTOL		
Lycopodium	clavatum		Lycopodiaceae	DTOL	DTOL	DTOL
Lycopodium	lagopus		Lycopodiaceae	DTOL		
Selaginella	selaginoides		Selaginellaceae	DTOL	DTOL	DTOL
Isoetes	echinospora		Isoetaceae	DTOL	DTOL	DTOL
Isoetes	histrix		Isoetaceae	DTOL		
Isoetes	lacustris		Isoetaceae	DTOL	DTOL	DTOL
Botrychium	lunaria		Ophioglossaceae	DTOL	DTOL	DTOL
Ophioglossum	azoricum		Ophioglossaceae	DTOL		
Ophioglossum	lusitanicum		Ophioglossaceae	DTOL		
Ophioglossum	vulgatum		Ophioglossaceae	DTOL	DTOL	DTOL
Equisetum	arvense		Equisetaceae	DTOL	DTOL	DTOL
Equisetum	fluviatile		Equisetaceae	DTOL		
Equisetum	hyemale		Equisetaceae	DTOL	DTOL	DTOL
Equisetum	palustre		Equisetaceae	DTOL	DTOL	
Equisetum	pratense		Equisetaceae	DTOL		
Equisetum	ramosissimum		Equisetaceae	DTOL		
Equisetum	sylvaticum		Equisetaceae	DTOL		
Equisetum	telmateia		Equisetaceae	DTOL	DTOL	
Equisetum	variegatum		Equisetaceae	DTOL		
Osmunda	regalis		Osmundaceae	DTOL	DTOL	DTOL
Hymenophyllum	tunbrigense		Hymenophyllaceae	DTOL	DTOL	DTOL
Hymenophyllum	wilsonii		Hymenophyllaceae	DTOL		
Trichomanes	speciosum	85337	Hymenophyllaceae	DTOL	DTOL	DTOL
Pilularia	globulifera		Marsileaceae	DTOL	DTOL	DTOL
Azolla	filiculoides		Salviniaceae	DTOL	DTOL	DTOL
Pteridium	aquilinum		Dennstaedtiaceae	DTOL	DTOL	DTOL
Adiantum	capillus-veneris		Pteridaceae	DTOL	DTOL	DTOL
Anogramma	leptophylla		Pteridaceae	DTOL	DTOL	DTOL
Cryptogramma	crispa		Pteridaceae	DTOL		
Cystopteris	alpina		Cystopteridaceae	DTOL		
Cystopteris	diaphana		Cystopteridaceae	DTOL		
Cystopteris	dickieana		Cystopteridaceae	DTOL		
Cystopteris	fragilis		Cystopteridaceae	DTOL		
Cystopteris	montana		Cystopteridaceae	DTOL	DTOL	DTOL
Gymnocarpium	dryopteris		Cystopteridaceae	DTOL		
Gymnocarpium	robertianum		Cystopteridaceae	DTOL	DTOL	DTOL
Asplenium	adiantum-nigrum		Aspleniaceae	DTOL		
Asplenium	ceterach		Aspleniaceae	DTOL		
Asplenium	marinum		Aspleniaceae	DTOL		
Asplenium	obovatum		Aspleniaceae	DTOL		
Asplenium	onopteris		Aspleniaceae	DTOL		
Asplenium	ruta-muraria		Aspleniaceae	DTOL	DTOL	
Asplenium	scolopendrium		Aspleniaceae	DTOL	DTOL	DTOL
Asplenium	septentrionale		Aspleniaceae	DTOL		
Asplenium	trichomanes		Aspleniaceae	DTOL		
Asplenium	viride		Aspleniaceae	DTOL	DTOL	DTOL
Oreopteris	limbosperma		Thelypteridaceae	DTOL		
Phegopteris	connectilis		Thelypteridaceae	DTOL	DTOL	DTOL
Thelypteris	palustris		Thelypteridaceae	DTOL	DTOL	DTOL
Athyrium	distentifolium		Woodsiaceae	DTOL	DTOL	DTOL
Athyrium	filix-femina		Woodsiaceae	DTOL	DTOL	
Woodsia	alpina		Woodsiaceae	DTOL	DTOL	
Woodsia	ilvensis		Woodsiaceae	DTOL	DTOL	DTOL
Blechnum	spicant	114457	Blechnaceae	DTOL	DTOL	DTOL
Dryopteris	aemula		Dryopteridaceae	DTOL	DTOL	DTOL
Dryopteris	affinis		Dryopteridaceae	DTOL		
Dryopteris	carthusiana		Dryopteridaceae	DTOL		
Dryopteris	cristata		Dryopteridaceae	DTOL		
Dryopteris	dilatata		Dryopteridaceae	DTOL		
Dryopteris	expansa		Dryopteridaceae	DTOL		
Dryopteris	filix-mas		Dryopteridaceae	DTOL		
Dryopteris	oreades		Dryopteridaceae	DTOL		
Dryopteris	remota		Dryopteridaceae	DTOL		
Dryopteris	submontana		Dryopteridaceae	DTOL		
Polystichum	aculeatum		Dryopteridaceae	DTOL		
Polystichum	lonchitis		Dryopteridaceae	DTOL	DTOL	DTOL
Polystichum	setiferum		Dryopteridaceae	DTOL		
Polypodium	cambricum		Polypodiaceae	DTOL	DTOL	DTOL
Polypodium	interjectum		Polypodiaceae	DTOL		
Polypodium	vulgare		Polypodiaceae	DTOL	DTOL	
Pinus	sylvestris		Pinaceae	DTOL	DTOL	DTOL
Pseudotsuga	menziesii		Pinaceae	DTOL	DTOL	DTOL
Juniperus	communis		Cupressaceae	DTOL	DTOL	DTOL
Taxus	baccata		Taxaceae	DTOL	DTOL	DTOL
Cabomba	caroliniana		Cabombaceae	DTOL	DTOL	DTOL
Nuphar	lutea		Nymphaeaceae	DTOL		
Nuphar	pumila		Nymphaeaceae	DTOL	DTOL	DTOL
Nymphaea	alba		Nymphaeaceae	DTOL	DTOL	DTOL
Ceratophyllum	demersum		Ceratophyllaceae	DTOL	DTOL	DTOL
Ceratophyllum	submersum		Ceratophyllaceae	DTOL	DTOL	DTOL
Ceratocapnos	claviculata		Papaveraceae	DTOL		
Chelidonium	majus		Papaveraceae	DTOL	DTOL	DTOL
Fumaria	bastardii		Papaveraceae	DTOL		
Fumaria	capreolata		Papaveraceae	DTOL		
Fumaria	densiflora		Papaveraceae	DTOL		
Fumaria	muralis		Papaveraceae	DTOL		
Fumaria	occidentalis		Papaveraceae	DTOL		
Fumaria	officinalis		Papaveraceae	DTOL	DTOL	
Fumaria	parviflora		Papaveraceae	DTOL		
Fumaria	purpurea		Papaveraceae	DTOL		
Fumaria	reuteri		Papaveraceae	DTOL		
Fumaria	vaillantii		Papaveraceae	DTOL		
Glaucium	flavum		Papaveraceae	DTOL		
Papaver	cambricum	248829	Papaveraceae	DTOL		
Papaver	dubium		Papaveraceae	DTOL	DTOL	
Papaver	lecoqii	357469	Papaveraceae	DTOL		
Papaver	rhoeas		Papaveraceae	DTOL	DTOL	DTOL
Papaver	somniferum		Papaveraceae	DTOL	DTOL	DTOL
Roemeria	argemone	357464	Papaveraceae	DTOL		
Roemeria	hispida	357471	Papaveraceae	DTOL		
Roemeria	hybrida		Papaveraceae	DTOL		
Berberis	vulgaris		Berberidaceae	DTOL	DTOL	DTOL
Mahonia	aquifolium	203270	Berberidaceae	DTOL	DTOL	DTOL
Actaea	spicata		Ranunculaceae	DTOL	DTOL	DTOL
Adonis	annua		Ranunculaceae	DTOL		
Anemone	nemorosa		Ranunculaceae	DTOL		
Aquilegia	vulgaris		Ranunculaceae	DTOL		
Caltha	palustris		Ranunculaceae	DTOL		
Clematis	vitalba		Ranunculaceae	DTOL	DTOL	
Ficaria	verna		Ranunculaceae	DTOL		
Helleborus	foetidus		Ranunculaceae	DTOL		
Helleborus	viridis		Ranunculaceae	DTOL		
Myosurus	minimus		Ranunculaceae	DTOL		
Pulsatilla	vulgaris	445234	Ranunculaceae	DTOL		
Ranunculus	acris		Ranunculaceae	DTOL	DTOL	DTOL
Ranunculus	aquatilis		Ranunculaceae	DTOL		
Ranunculus	arvensis		Ranunculaceae	DTOL		
Ranunculus	auricomus		Ranunculaceae	DTOL		
Ranunculus	baudotii		Ranunculaceae	DTOL		
Ranunculus	bulbosus		Ranunculaceae	DTOL		
Ranunculus	circinatus		Ranunculaceae	DTOL		
Ranunculus	flammula		Ranunculaceae	DTOL		
Ranunculus	fluitans		Ranunculaceae	DTOL		
Ranunculus	hederaceus		Ranunculaceae	DTOL		
Ranunculus	lingua		Ranunculaceae	DTOL		
Ranunculus	omiophyllus		Ranunculaceae	DTOL		
Ranunculus	ophioglossifolius		Ranunculaceae	DTOL		
Ranunculus	paludosus		Ranunculaceae	DTOL		
Ranunculus	parviflorus		Ranunculaceae	DTOL		
Ranunculus	peltatus		Ranunculaceae	DTOL		
Ranunculus	penicillatus		Ranunculaceae	DTOL		
Ranunculus	repens		Ranunculaceae	DTOL		
Ranunculus	reptans		Ranunculaceae	DTOL		
Ranunculus	sardous		Ranunculaceae	DTOL		
Ranunculus	sceleratus		Ranunculaceae	DTOL		
Ranunculus	trichophyllus		Ranunculaceae	DTOL		
Ranunculus	tripartitus		Ranunculaceae	DTOL		
Thalictrum	alpinum		Ranunculaceae	DTOL		
Thalictrum	flavum		Ranunculaceae	DTOL		
Thalictrum	minus		Ranunculaceae	DTOL		
Trollius	europaeus		Ranunculaceae	DTOL	DTOL	
Buxus	sempervirens		Buxaceae	DTOL	DTOL	DTOL
Gunnera	manicata		Gunneraceae	DTOL		
Gunnera	tinctoria		Gunneraceae	DTOL	DTOL	DTOL
Ribes	alpinum		Grossulariaceae	DTOL		
Ribes	rubrum		Grossulariaceae	DTOL	DTOL	DTOL
Ribes	spicatum		Grossulariaceae	DTOL		
Chrysosplenium	alternifolium		Saxifragaceae	DTOL		
Chrysosplenium	oppositifolium		Saxifragaceae	DTOL	DTOL	DTOL
Micranthes	nivalis		Saxifragaceae	DTOL		
Micranthes	stellaris		Saxifragaceae	DTOL		
Saxifraga	aizoides		Saxifragaceae	DTOL		
Saxifraga	cernua		Saxifragaceae	DTOL		
Saxifraga	cespitosa		Saxifragaceae	DTOL		
Saxifraga	granulata		Saxifragaceae	DTOL		
Saxifraga	hirculus		Saxifragaceae	DTOL	DTOL	
Saxifraga	hirsuta		Saxifragaceae	DTOL		
Saxifraga	hypnoides		Saxifragaceae	DTOL		
Saxifraga	oppositifolia		Saxifragaceae	DTOL	DTOL	DTOL
Saxifraga	rivularis		Saxifragaceae	DTOL		
Saxifraga	spathularis		Saxifragaceae	DTOL		
Saxifraga	tridactylites		Saxifragaceae	DTOL		
Tolmiea	menziesii		Saxifragaceae	DTOL		
Crassula	aquatica		Crassulaceae	DTOL		
Crassula	helmsii		Crassulaceae	DTOL	DTOL	DTOL
Crassula	tillaea		Crassulaceae	DTOL		
Hylotelephium	telephium		Crassulaceae	DTOL		
Petrosedum	forsterianum	1155363	Crassulaceae	DTOL		
Rhodolia	rosea	203015	Crassulaceae	DTOL		
Sedum	acre		Crassulaceae	DTOL		
Sedum	anglicum		Crassulaceae	DTOL		
Sedum	villosum		Crassulaceae	DTOL		
Umbilicus	rupestris		Crassulaceae	DTOL	DTOL	
Myriophyllum	alterniflorum		Haloragaceae	DTOL	DTOL	DTOL
Myriophyllum	aquaticum		Haloragaceae	DTOL		
Myriophyllum	spicatum		Haloragaceae	DTOL		
Myriophyllum	verticillatum		Haloragaceae	DTOL		
Anthyllis	vulneraria		Fabaceae	DTOL		
Astragalus	alpinus		Fabaceae	DTOL		
Astragalus	danicus		Fabaceae	DTOL		
Astragalus	glycyphyllos		Fabaceae	DTOL		
Cytisus	scoparius		Fabaceae	DTOL		
Ervilia	hirsuta	3910	Fabaceae	DTOL		
Ervilia	sylvatica	287755	Fabaceae	DTOL		
Ervum	gracile	1218908	Fabaceae	DTOL		
Ervum	tetraspermum	154499	Fabaceae	DTOL		
Genista	anglica		Fabaceae	DTOL		
Genista	pilosa		Fabaceae	DTOL		
Genista	tinctoria		Fabaceae	DTOL		
Hippocrepis	comosa		Fabaceae	DTOL		
Lathyrus	aphaca		Fabaceae	DTOL		
Lathyrus	japonicus		Fabaceae	DTOL	DTOL	DTOL
Lathyrus	linifolius		Fabaceae	DTOL	DTOL	
Lathyrus	nissolia		Fabaceae	DTOL		
Lathyrus	palustris		Fabaceae	DTOL		
Lathyrus	pratensis		Fabaceae	DTOL		
Lathyrus	sylvestris		Fabaceae	DTOL		
