Subfamily,Tribe,Species,Sample_local," Countries",Haploid_n,Diploid_2n,Karyotype,Notes,Genome_size_pg,Classic_cytogenetic_data,Molecular_cytogenetic_data,References ,Family
Andreninae,Andrenini,Andrena dunningi,"Guelph, Ontario",Canada,,,,,0.5,,,Ardila-Garcia et al. 2010 ,Apidae
Andreninae,Andrenini,Andrena togashii,"Sendai, Miyagi",Japan,3,6,k= 1acrocentric + 2metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Anthophorini,Anthophora plumipes,"Matsue, Shimane",Japan,9,18,k= 1acrocentric + 8metacentric,as Anthophora acervorum villosula,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Apini,Apis cerana,Bangkok,Thailand,,,,,0.19,,,Jordan and Brosemer 1974Ardila-Garcia et al. 2010 ,Apidae
Apinae,Apini,Apis cerana,"Machida, Tokyo",Japan,16,32,all metacentric or submetacentric,as Apis cerana japonica,,C-banding; G-banding,,Hoshiba et al. 1981Hoshiba and Okada 1986Hoshiba and Imai 1993 ,Apidae
Apinae,Apini,Apis cerana,Mahabaleshwar,India,16,32,k= 4metacentric + 4submetacentric + 8subtelocentric,as Apis indica,,,,Deodikar et al. 1959 ,Apidae
Apinae,Apini,Apis cerana,University of Peradeniya,Sri Lanka,16,,,,,,,Fahrenhorst 1977 ,Apidae
Apinae,Apini,Apis dorsata,University of Peradeniya,Sri Lanka,16,,,,,,,Fahrenhorst 1977 ,Apidae
Apinae,Apini,Apis florea,University of Peradeniya,Sri Lanka,16,,,,,,,Fahrenhorst 1977 ,Apidae
Apinae,Apini,Apis mellifera,University of Peradeniya,Sri Lanka,16,,,,,,,Fahrenhorst 1977 ,Apidae
Apinae,Apini,Apis mellifera,"Itabashi-ku, Tokyo",Japan,16,32,all metacentric or submetacentric,as Apis mellifera ligustica,,C-banding; G-banding,,Hoshiba and Kusanagi 1978Hoshiba 1984aHoshiba 1984bHoshiba and Okada 1986Hoshiba and Imai 1993 ,Apidae
Apinae,Apini,Apis mellifera,"Guelph, Ontario",Canada,16,32,,,0.24,,,HoneybeeGenomeSequencingConsortium 2006Ardila-Garcia et al. 2010 ,Apidae
Apinae,Apini,Apis mellifera,Locality not specified,Germany,16,,,,,,"FISH (ribossomal probe, TTAGG probe)",Beye and Moritz 1993Sahara et al. 1999 ,Apidae
Apinae,Apini,Apis mellifera,"Banat, Timok and SyenichkoPeshterski",Serbia,,32,,as Apis mellifera carnica,,G-banding,,Stanimirovic et al. 2005 ,Apidae
Apinae,Bombini,Bombus affinis,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus appositus,Alberta,Canada,16,,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus ardens,"Higashimatsuyama, Saitama; Itabashi-ku, Tokyo",Japan,18,,k= 7pseudo-acrocentric + 2acrocentric + 9metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus ashtoni,Locality not specified,North America,25,,,as Psithyrus ashtoni,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus bimaculatus,"Guelph, Ontario",Canada,,,,,0.34,,,Ardila-Garcia et al. 2010 ,Apidae
