Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Rhabditis aspera			CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2	XX/X0	m/f			26
Rhabditis maupasi			CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2	XX/X0	m/f			26
Romanomermis culicivorax	13658		DORYLAIMIA	MERMITHIDA	MERMITHINA	MERMITHIDAE	12	2		m/f			115
Seinura celeris			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		m/h			30
Seinura oliveiri			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		m/h			30
Seinura oxyurus		revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		m/h			30
Seinura steineri			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		m/h			30
Seinura tenuicaudata			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2	XX/X0	m/f			30
Setaria cervi	65603		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0	m/f			116
Setaria digitata	48799		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0	m/f			41
Setaria equina	65603		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0	m/f			28
Setaria labiatopapillosa	108094		CHROMADOREA	RHABDITIDA	SPIRURINA	SIRURUIDA	6	2	XX/X0	m/f			30
Seuratum mucronatum		revised	CHROMADOREA	RHABDITIDA	SPIRURINA	CYSTIDICOLIDAE	12	2					117
Spirinia parasitifera	320062		DORYLAIMIA	DESMODORIDA	DESMODORINA	DESMADORIDAE	14	2		m/f			27
Spirura talpae			CHROMADOREA	RHABDITIDA	SPIRURINA	SPIRURIDAE	16	2				14	26
Steinernema affine	162469	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema anomali	52070		CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
