distribution,max,median,minimum,resolved_name
10,10,10,10,Aneura minima
6-9-10-11-20,20,10,6,Aneura pinguis
10,10,10,10,Aneura scabra
26,26,26,26,Anisothecium hookeri
13-14-15,15,14,13,Anisothecium molliculum
10-14,14,14,10,Anisothecium rufescens
13-15,15,13,13,Anisothecium spirale
13,13,13,13,Anoectangium aestivum
13,13,13,13,Anoectangium clarum
13,13,13,13,Anoectangium hymenodontoides
13-14,14,13,13,Anoectangium stracheyanum
13,13,13,13,Anoectangium thomsonii
10,10,10,10,Anomobryum auratum
10,10,10,10,Anomobryum cymbifolium
10,10,10,10,Anomobryum filiforme
10,10,10,10,Anomobryum filiforme var. concinnatum
10-20,20,10,10,Anomobryum nitidum
10-11,11,11,10,Anomobryum subnitidum
10-11,11,10,10,Anomodon attenuatus
11,11,11,11,Anomodon giraldii
11,11,11,11,Anomodon longifolius
10-11,11,10,10,Anomodon minor
10-11-12,12,11,10,Anomodon rostratus
11,11,11,11,Anomodon rugelii
11,11,11,11,Anomodon thraustus
10-11,11,11,10,Anomodon viticulosus
9,9,9,9,Anthelia julacea
4-5,5,5,4,Anthoceros agrestis
5,5,5,5,Anthoceros caucasicus
6,6,6,6,Anthoceros formosae
6,6,6,6,Anthoceros laevis
4-5-6,6,4,4,Anthoceros punctatus
27,27,27,27,Aphanorrhegma serratum
15,15,15,15,Apomarsupella verrucosa
8-9,9,8,8,Apometzgeria pubescens
9,9,9,9,Apotreubia nana
6,6,6,6,Aptychella delicata
13-26,26,13,13,Archidium alternifolium
26,26,26,26,Archidium hallii
32,32,32,32,Archidium minus
13,13,13,13,Archidium ohioense
13,13,13,13,Archidium stellatum
26,26,26,26,Archidium tenerrimum
8-9,9,8,8,Archilejeunea autoica
9,9,9,9,Archilejeunea elobulata
9,9,9,9,Archilejeunea kiushiana
13-14,14,13,13,Arctoa fulvella
6,6,6,6,Arnellia fennica
4,4,4,4,Aspiromitus cavernosus
8-9,9,9,8,Asterella angusta
9,9,,9,Asterella blumeana
9,9,9,9,Asterella chichibuensis
9,9,9,9,Asterella crassa
16,16,16,16,Asterella gracilis
8-9,9,8,8,Asterella lindenbergiana
9,9,9,9,Asterella liukiuensis
9,9,9,9,Asterella monospiris
8,8,8,8,Asterella mussuriensis
8-9,9,8,8,Asterella odora
18,18,18,18,Asterella pathankotensis
18,18,18,18,Asterella syngenesica
24,24,24,24,Asterella venosa
9,9,9,9,Asterella yoshinagana
13,13,13,13,Astomum crispum
9,9,9,9,Athalamia glaucovirens
9,9,9,9,Athalamia hyalina
9,9,9,9,Athalamia nana
9,9,9,9,Athalamia spathysii
7-14,14,14,7,Atrichum altecristatum
14,14,14,14,Atrichum androgynum
7-8,8,7,7,Atrichum angustatum
7,7,7,7,Atrichum crispulum
7,7,7,7,Atrichum crispum
7-14-21,21,14,7,Atrichum flavisetum
14,14,14,14,Atrichum ligulatum
7-14,14,14,7,Atrichum obtusulum
21,21,21,21,Atrichum rhystophyllum
7,7,7,7,Atrichum selwynii
7,7,7,7,Atrichum spinulosum
7,7,7,7,Atrichum subserratum
7-14,14,14,7,Atrichum tenellum
7-14-21,21,21,7,Atrichum undulatum
7-14-21,21,7,7,Atrichum undulatum var. minus
7-14,14,7,7,Atrichum undulatum var. subserratum
7,7,7,7,Atrichum yakushimense
12,12,12,12,Aulacomnium acuminatum
10-11-12,12,11,10,Aulacomnium androgynum
11-12,12,12,11,Aulacomnium heterostichum
10-12,12,12,10,Aulacomnium palustre
12,12,12,12,Aulacomnium turgidum
13,13,13,13,Aulacopilum japonicum
9,9,9,9,Balantiopsis cancellata
10,10,10,10,Barbella enervis
10,10,10,10,Barbella flagellifera
10,10,10,10,Barbella pendula
9,9,9,9,Barbella stevensii
8-9,9,9,8,Barbilophozia attenuata
9,9,9,9,Barbilophozia barbata
8,8,8,8,Barbilophozia floerkei
8,8,8,8,Barbilophozia hatcheri
10,10,10,10,Barbilophozia lycopodioides
9,9,9,9,Barbilophozia quadriloba
13,13,13,13,Barbula bolleana
13-30-52,52,30,13,Barbula calycina
12,12,12,12,Barbula confertifolia
7-13-14,14,13,7,Barbula constricta
10-11-13-14,14,11,10,Barbula convoluta
13,13,13,13,Barbula fuscescens
14,14,14,14,Barbula gregaria
15,15,15,15,Barbula hiroshii
12-15-26,26,15,12,Barbula laevipila
13,13,13,13,Barbula recurvirostris
12-13,13,13,12,Barbula rigidula
14,14,14,14,Barbula tenuirostris
11-13-14-16-24,24,13,11,Barbula unguiculata
6-8-12,12,6,6,Bartramia brevifolia
6,6,6,6,Bartramia breviseta
8-9-12,12,9,8,Bartramia halleriana
6-8-12-36,36,12,6,Bartramia ithyphylla
11-16,16,16,11,Bartramia patens
8-12,12,8,8,Bartramia pomiformis
8,8,8,8,Bartramia robusta
16,16,16,16,Bartramia stricta
6,6,6,6,Bartramidula bartramioides
6,6,6,6,Bartramidula roylei
7,7,7,7,Bartramiopsis lescurii
10,10,10,10,Bazzania adnexa
9,9,9,9,Bazzania bidentula
9,9,9,9,Bazzania fauriana
9,9,9,9,Bazzania flaccida
9,9,9,9,Bazzania japonica
9,9,9,9,Bazzania loricata
9,9,9,9,Bazzania magna
9,9,9,9,Bazzania ovifolia
9,9,9,9,Bazzania pompeana
9,9,9,9,Bazzania praerupta
9,9,9,9,Bazzania remotifolia
9,9,9,9,Bazzania revoluta
10,10,10,10,Bazzania tricrenata
9-10,10,9,9,Bazzania tridens
9,9,9,9,Bazzania trilobata
10,10,10,10,Bescherellia elegantissima
9,9,9,9,Blasia pusilla
8-9,9,8,8,Blepharidophyllum densifolium
18,18,18,18,Blepharostoma minus
9,9,9,9,Blepharostoma trichophyllum
13-14,14,13,13,Blindia acuta
13,13,13,13,Blindia campylopodioides
14,14,14,14,Blindia japonica
10-11,11,11,10,Boulaya mittenii
16,16,16,16,Brachiolejeunea sandvicensis
11,11,11,11,Brachydontium trichodes
10-11,11,10,10,Brachymenium acuminatum
22,22,22,22,Brachymenium alpinum
11,11,11,11,Brachymenium bryoides
10-11-20,20,11,10,Brachymenium exile
20,20,20,20,Brachymenium leptophyllum
10,10,10,10,Brachymenium longicolle
11-12-20-22,22,12,11,Brachymenium nepalense
11,11,11,11,Brachymenium ochianum
22-30,30,22,22,Brachymenium preissianum
10-11,11,10,10,Brachymenium sikkimense
6-7-9,9,7,6,Brachythecium albicans
10,10,10,10,Brachythecium austrosalebrosum
11-22,22,11,11,Brachythecium brotheri
6-10-11-14,14,10,6,Brachythecium buchananii
12-14,14,12,12,Brachythecium cameratum
7-11-12-16-17,17,16,7,Brachythecium campestre
11,11,11,11,Brachythecium coreanum
6,6,6,6,Brachythecium frigidum
10,10,10,10,Brachythecium garovaglioides
10,10,10,10,Brachythecium geheebii
8,8,8,8,Brachythecium glaciale
6-9-10-14,14,9,6,Brachythecium glareosum
8-11-18,18,11,8,Brachythecium helminthocladum
10-11,11,10,10,Brachythecium kamounense
10,10,10,10,Brachythecium kuroishicum
10,10,10,10,Brachythecium leibergii
13-14,14,14,13,Brachythecium mildeanum
22,22,22,22,Brachythecium paradoxum
18,18,18,18,Brachythecium piligerum
10-11-15,15,11,10,Brachythecium plumosum
9-10-11,11,10,9,Brachythecium populeum
10,10,10,10,Brachythecium procumbens
10,10,10,10,Brachythecium pulchellum
10-11-12-20,20,10,10,Brachythecium reflexum
6-11-12-13-16,16,6,6,Brachythecium rivulare
5-9-10-11-12-20,20,11,5,Brachythecium rutabulum
12,12,12,12,Brachythecium sakuraii
10-11-12-13,13,13,10,Brachythecium salebrosum
10,10,10,10,Brachythecium salebrosum var. vineale
9,9,9,9,Brachythecium serrulatum
6-10-20,20,10,6,Brachythecium starkii
13,13,13,13,Brachythecium subpilosum
13,13,13,13,Brachythecium subplicatum
10,10,10,10,Brachythecium trachypodium
14,14,14,14,Brachythecium turgidum
1-10-11-12-18,18,10,1,Brachythecium velutinum
10,10,10,10,Braithwaitea sulcata
10,10,10,10,Breidleria arcuata
10,10,10,10,Breidleria homaliacea
6,6,6,6,Breutelia affinis
6,6,6,6,Breutelia arundinifolia
6,6,6,6,Breutelia chrysocoma
6,6,6,6,Breutelia integrifolia
6,6,6,6,Breutelia pendula
6,6,6,6,Breutelia plicata
12,12,12,12,Brothera leana
10,10,10,10,Brotherella complanata
10,10,10,10,Brotherella erythrocaulis
10,10,10,10,Brotherella falcata
8,8,8,8,Brotherella fauriei
10,10,10,10,Brotherella harveyana
9-10,10,10,9,Brotherella henonii
7,7,7,7,Brotherella herbacea
6-7,7,6,6,Brotherella recurvans
10,10,10,10,Brotherella tenuirostris
9-10,10,10,9,Brotherella yokohamae
15-16,16,15,15,Bruchia brevifolia
15,15,15,15,Bruchia carolinae
28-30,30,28,28,Bruchia drummondii
14-15-16-28,28,14,14,Bruchia flexuosa
15-16,16,15,15,Bruchia fusca
16,16,16,16,Bruchia hallii
14-16,16,14,14,Bruchia ravenelii
15-16,16,15,15,Bruchia texana
10,10,10,10,Bryhnia decurvans
11,11,11,11,Bryhnia hultenii
11,11,11,11,Bryhnia noesica
11,11,11,11,Bryhnia novae-angliae
8,8,8,8,Bryhnia tenerrima
10,10,10,10,Bryhnia tokubuchii
11,11,11,11,Bryhnia trichomitria
12,12,12,12,Bryoandersonia illecebra
13-14-26-52,52,14,13,Bryobrittonia longipes
13,13,13,13,Bryoerythrophyllum atrorubens
13,13,13,13,Bryoerythrophyllum caledonicum
13,13,13,13,Bryoerythrophyllum dentatum
13,13,13,13,Bryoerythrophyllum recurvirostrum
13-26,26,13,13,Bryoerythrophyllum wallichii
10-11,11,11,10,Bryohaplocladium angustifolium
11,11,11,11,Bryohaplocladium perparaphyllum
22,22,22,22,Bryonoguchia molkenboeri
11,11,11,11,Bryosedgwickia aurea
14,14,14,14,Bryoxiphium norvegicum
10,10,27,10,Bryum algovicum var. algovicum
10-20,20,10,10,Bryum alpinum subsp. gemmiparum
20,20,20,20,Bryum arcticum
10-11-12-20,20,10,10,Bryum argenteum
10,10,10,10,Bryum atrovirens
10,10,10,10,Bryum auratum
10,10,10,10,Bryum badhwarii
10-20,20,10,10,Bryum billarderi
10,10,10,10,Bryum blandum subsp. handelii
10-11-20,20,10,10,Bryum caespiticium
10-11-22,22,11,10,Bryum caespiticium var. badium
40,40,40,40,Bryum calophyllum
20,20,20,20,Bryum campylothecium
10,10,10,10,Bryum capillare var. nagasakense
10-11,11,10,10,Bryum cellulare
10-20,20,10,10,Bryum coronatum
10-22-30,30,10,10,Bryum creberrimum
20,20,20,20,Bryum cremocarpum
10,10,10,10,Bryum cyclophyllum
10-24,24,10,10,Bryum dichotomum
10,10,10,10,Bryum elegans
10,10,10,10,Bryum euryphyllum
10,10,10,10,Bryum filiforme var. concinnatum
10,10,10,10,Bryum gemmiferum
10,10,10,10,Bryum gemmiparum
10-20-30,30,20,10,Bryum inclinatum
20-24,24,20,20,Bryum intermedium
11,11,11,11,Bryum knowltonii
33,33,33,33,Bryum kunzei
22,22,22,22,Bryum medianum
10,10,10,10,Bryum mildeanum
10,10,10,10,Bryum pachytheca
10-20,20,10,10,Bryum pallens
10-11-12-20-22,22,11,10,Bryum pallescens
10,10,10,10,Bryum paradoxum
10-20-27-30,30,27,10,Bryum pendulum subsp. angustirete
5-10-11-12-20,20,11,5,Bryum pseudotriquetrum
10,10,10,10,Bryum ramosum
10,10,10,10,Bryum sahyadrense
10,10,10,10,Bryum subfasciculatum
10,10,10,10,Bryum turbinatum
10-11,11,10,10,Bryum uliginosum
15,15,15,15,Bryum warneum
22,22,22,22,Bryum wightii
20-50,50,20,20,Bryum wrightii
8-9,9,8,8,Bucegia romanica
13,13,13,13,Bucklandiella affinis
12,12,12,12,Bucklandiella brevipes
13-14,14,13,13,Bucklandiella heterosticha
7-14,14,7,7,Bucklandiella microcarpa
14,14,14,14,Bucklandiella sudetica
8,8,8,8,Buxbaumia aphylla
9,9,9,9,Buxbaumia himalayensis
8,8,8,8,Buxbaumia piperi
8,8,8,8,Buxbaumia viridis
11-22,22,22,11,Callicladium haldanianum
11,11,11,11,Callicostella depressa
10-20-21-22,22,20,10,Calliergon cordifolium
11-12,12,12,11,Calliergon giganteum
11,11,,11,Calliergon richardsonii
11,11,11,11,Calliergon stramineum
10-11,11,11,10,Calliergonella cuspidata
10,10,10,10,Calliergonella lindbergii
9,9,9,9,Calobryum dentatum
9,9,9,9,Calobryum rotundifolium
6,6,6,6,Calomnion milleri
8-9,9,9,8,Calycularia crispula
9,9,9,9,Calypogeia angusta
9,9,9,9,Calypogeia arguta
9,9,9,9,Calypogeia contracta
18,18,18,18,Calypogeia fissa
9,9,9,9,Calypogeia fujisana
9,9,9,9,Calypogeia granulata
9,9,9,9,Calypogeia integristipula
16-18,18,16,16,Calypogeia muelleriana
8,8,8,8,Calypogeia neesiana
9-18,18,9,9,Calypogeia neesiana subsp. subalpina
18,18,18,18,Calypogeia sphagnicola
9,9,9,9,Calypogeia suecica
9,9,9,9,Calypogeia tosana
9,9,9,9,Calypogeia tseukushiensis
8,8,8,8,Calyptothecium hookeri
8,8,8,8,Calyptothecium nitidum
8,8,8,8,Calyptothecium pinnatum
10,10,10,10,Calyptrochaeta japonica
10-11-12-22,22,11,10,Camptochaete ramulosa
11,11,11,11,Camptochaete vaga
11,11,11,11,Camptothecium auriculatum
8-10-11-12-14,14,10,8,Camptothecium lutescens
9-10-20,20,10,9,Campyliadelphus chrysophyllus
11,11,11,11,Campyliadelphus elodes
10-11-20,20,11,10,Campyliadelphus polygamus
10,10,10,10,Campyliadelphus protensus
11,11,,11,Campyliadelphus stellatus
11,11,11,11,Campylium calcareum
10,10,10,10,Campylium chrysophyllum
11-14,14,11,11,Campylium hispidulum
11-20,20,11,11,Campylium polygamum
11,11,11,11,Campylium rufo-chryseum
10-20,20,20,10,Campylium sommerfeltii
22,22,22,22,Campylium stellatum
14,14,14,14,Campylopodiella himalayana
13-14,14,13,13,Campylopodium griffithii
11,11,11,11,Campylopus atrovirens
12,12,12,12,Campylopus ericoides
10-11-12,12,11,10,Campylopus flexuosus
12-13,13,12,12,Campylopus fragilis
11-12,12,11,11,Campylopus fragilis subsp. goughii
10-12,12,10,10,Campylopus fragilis var. pyriformis
13-15,15,13,13,Campylopus gracilis
12,12,12,12,Campylopus introflexus
10,10,10,10,Campylopus pyriformis
11-12,12,12,11,Campylopus savannarum
12,12,12,12,Campylopus schmidii
12,12,12,12,Campylopus subfragilis
18,18,18,18,Campylopus surinamensis
18,18,18,18,Campylopus tallulensis
11,11,11,11,Campylopus umbellatus var. umbellatus
13,13,13,13,Campylopus walkeri
13-14,14,13,13,Catoscopium nigritum
8,8,8,8,Caudalejeunea hanningtonii
8-9,9,9,8,Cavicularia densa
9,9,9,9,Cephalozia ambigua
18,18,18,18,Cephalozia bicuspidata
18,18,18,18,Cephalozia hamatiloba
27,27,27,27,Cephalozia lammersiana
9,9,9,9,Cephalozia otaruensis
18,18,18,18,Cephalozia pleniceps
9-16,16,9,9,Cephaloziella arctica
16,16,16,16,Cephaloziella varians
13,13,13,13,Ceratodon heterophyllus
11-13,13,13,11,Ceratodon purpureus
13-14,14,13,13,Ceratodon stenocarpus
10,10,10,10,Chamberlainia collina
10,10,10,10,Chamberlainia leibergii
9,9,9,9,Chandonanthus hirtellus
9,9,9,9,Chandonanthus setiformis
9,9,9,9,Chandonanthus squarrosus
9,9,9,9,Cheilolejeunea imbricata
9,9,9,9,Cheilolejeunea rotundistipula
13,13,13,13,Cheilothela chilensis
9,9,9,9,Chiastocaulon dendroides
9-18,18,18,9,Chiloscyphus cuspidatus
9,9,9,9,Chiloscyphus dissitifolius
9,9,9,9,Chiloscyphus himalayensis
9,9,9,9,Chiloscyphus hookeri
18,18,18,18,Chiloscyphus pallescens
8-9-10,10,9,8,Chiloscyphus polyanthos
9,9,9,9,Chiloscyphus profundus
12-14,14,12,12,Chorisodontium aciphyllum
10,10,10,10,Chryso-hypnum diminutivum
13,13,13,13,Chrysoblastella chilensis
10,10,10,10,Chrysocladium phaeum
11,11,11,11,Chrysocladium retrorsum
7,7,7,7,Cinclidium arcticum
7,7,7,7,Cinclidium latifolium
7-14,14,14,7,Cinclidium stygium
14,14,14,14,Cinclidium subrotundum
13,13,13,13,Cinclidotus aquaticus
12,12,12,12,Cinclidotus danubicus
13,13,13,13,Cinclidotus fontinaloides
13,13,13,13,Cinclidotus riparius
11,11,11,11,Cirriphyllum crassinervium
11,11,11,11,Cirriphyllum flotowianum
6-7-11,11,11,6,Cirriphyllum piliferum
10-11,11,10,10,Cirriphyllum tommasinii
9,9,9,9,Cladopodiella fluitans
11,11,11,11,Claopodium aciculum
11,11,11,11,Claopodium assurgens
11-12,12,12,11,Claopodium crispifolium
11,11,11,11,Claopodium gracillimum
11,11,11,11,Claopodium pellucinerve
11,11,11,11,Claopodium prionophyllum
11,11,11,11,Claopodium whippleanum
9,9,9,9,Clasmatocolea humilis
10-11,11,11,10,Clasmatodon parvulus
10,10,10,10,Clastobryella kusatsuensis
7,7,7,7,Cleistocarpidium palustre
9,9,9,9,Clevea pusilla
11,11,11,11,Climacium americanum
11,11,11,11,Climacium dendroides
11,11,11,11,Climacium japonicum
12-13-14,14,12,12,Codriophorus aciculare
13,13,13,13,Codriophorus fascicularis
12-13,13,12,12,Codriophorus varius
9,9,9,9,Cololejeunea calcarea
9,9,8,9,Cololejeunea dissita
8,8,8,8,Cololejeunea goebelii
8,8,8,8,Cololejeunea ornata
8-9,9,8,8,Cololejeunea raduliloba
8-9,9,8,8,Conocephalum conicum
8,8,8,8,Conocephalum japonicum
8,8,8,8,Conostomum magellanicum
8-9,9,8,8,Conostomum pentastichum
8,8,8,8,Conostomum pusillum
16,16,16,16,Conostomum tetragonum
8-9-11-12-16-18,18,12,8,Corsinia coriandrina
26,26,26,26,Coscinodon calyptratus
12,12,12,12,Craspedophyllum marginatum
10,10,10,10,Cratoneuron commutatum
10,10,10,10,Cratoneuron commutatum var. falcatum
7-10-11,11,10,7,Cratoneuron falcatum
10-20-30,30,10,10,Cratoneuron filicinum
10-11,11,11,10,Cratoneuron filicinum var. fallax
10-12,12,10,10,Cratoneuron latifolium
8,8,8,8,Cronisia fimbriata
9,9,9,9,Cronisia weddellii
24,24,24,24,Crossidium crassinervia
24,24,24,24,Crossidium squamiferum var. pottioideum
10-11,11,10,10,Cryphaea glomerata
10,10,10,10,Cryphaea heteromalla
10,10,10,10,Cryphaea lamyana
10,10,10,10,Cryphaea tasmanica
11,11,11,11,Cryptoleptodon flexuosus
10,10,10,10,Cryptothallus mirabilis
11,11,11,11,Ctenidium capillifolium
11,11,11,11,Ctenidium hastile
8,8,8,8,Ctenidium homalophyllum
8-11,11,8,8,Ctenidium malacodes
7-8-10,10,8,7,Ctenidium molluscum
11,11,11,11,Ctenidium percrassum
11,11,11,11,Ctenidium pinnatum
8,8,8,8,Ctenidium pubescens
11,11,11,11,Ctenidium pulchellum
11,11,11,11,Ctenidium serratifolium
8-9,9,9,8,Cyathodium africanum
9,9,9,9,Cyathodium smaragdinum
5,5,5,5,Cyathophorum bulbosum
14,14,14,14,Cynodontium alpestre
13-14-15,15,14,13,Cynodontium bruntonii
14,14,14,14,Cynodontium fallax
14,14,14,14,Cynodontium jenneri
14,14,14,14,Cynodontium polycarpum
11-14-15,15,14,11,Cynodontium strumiferum
11,11,11,11,Cyptodontopsis leveillei
9-11,11,9,9,Cyrto-hypnum minutulum
11,11,11,11,Cyrto-hypnum rubiginosum
6-7,7,6,6,Cyrtomnium hymenophylloides
7,7,7,7,Cyrtomnium hymenophyllum
10,10,10,10,Daltonia semitorta
7,7,7,7,Dawsonia beccarii
7,7,7,7,Dawsonia beccarii var. limbata
7,7,7,7,Dawsonia longiseta
7,7,7,7,Dawsonia polytrichoides
7,7,7,7,Dawsonia superba var. pulchra
5,5,5,5,Dendroceros crispus
6,6,6,6,Dendroceros japonicus
7,7,7,7,Dendroligotrichum dendroides
7,7,7,7,Dendroligotrichum squamosum
9,9,9,9,Denotarisia linguifolia
25-26,26,26,25,Desmatodon cernuus
52,52,52,52,Desmatodon ucrainicus
6,6,6,6,Desmotheca apiculata
11,11,11,11,Diaphanodon blandus
10,10,10,10,Dichelyma falcatum
14,14,14,14,Dichodontium olympicum
7-14,14,14,7,Dichodontium pellucidum
11,11,11,11,Dicnemoloma pallidum
13-14-15,15,14,13,Dicranella cerviculata
14-15,15,15,14,Dicranella crispa
12,12,12,12,Dicranella dietrichiae
11-13-15,15,13,11,Dicranella divaricata
11-13-14,14,13,11,Dicranella heteromalla
26,26,26,26,Dicranella hookeri
13,13,13,13,Dicranella macrospora
14,14,14,14,Dicranella mollicula
15,15,15,15,Dicranella pacifica
15,15,15,15,Dicranella palustris
10-14,14,10,10,Dicranella rufescens
7-14-15,15,14,7,Dicranella schreberiana
13,13,13,13,Dicranella spiralis
13-14,14,14,13,Dicranella subulata
7-14-15,15,14,7,Dicranella varia
11-12,12,11,11,Dicranodontium denudatum
12-13,13,12,12,Dicranoloma billardierei
14,14,14,14,Dicranoloma brevisetum
7,7,7,7,Dicranoloma dicarpum
8,8,8,8,Dicranoloma menziesii
7,7,7,7,Dicranoloma robustum
7,7,7,7,Dicranoloma robustum var. setosum
9,9,9,9,Dicranoloma serratum
13,13,13,13,Dicranoweisia antarctica
13-14,14,14,13,Dicranoweisia brevifolia
11-13-14,14,11,11,Dicranoweisia cirrata
11-14,14,14,11,Dicranoweisia crispula
13,13,13,13,Dicranoweisia grimmiacea
12,12,12,12,Dicranum billardierei
11-12-13-14,14,12,11,Dicranum bonjeanii
11,11,11,11,Dicranum caesium
12,12,12,12,Dicranum condensatum
11,11,11,11,Dicranum crispifolium
13,13,13,13,Dicranum elongatum
12-23,23,12,12,Dicranum flagellare
7-8-9-10-12-24,24,10,7,Dicranum fuscescens
12,12,12,12,Dicranum groenlandicum
11,11,11,11,Dicranum japonicum
12,12,12,12,Dicranum kashmirense
11-12-13,13,12,11,Dicranum majus
12,12,12,12,Dicranum montanum
7,7,7,7,Dicranum muehlenbeckii
11,11,11,11,Dicranum nipponense
12,12,12,12,Dicranum pallidisetum
12-14,14,12,12,Dicranum polysetum
10-11-12-14,14,12,10,Dicranum scoparium
8-12,12,8,8,Dicranum scottianum
7-12,12,12,7,Dicranum spurium
12,12,12,12,Dicranum strictum
12-14,14,12,12,Dicranum tauricum
10-11-12-13,13,12,10,Dicranum undulatum
12,12,12,12,Didymodon brachyphyllus
10-12-13-14,14,13,10,Didymodon fallax
13,13,13,13,Didymodon ferrugineus
12-13,13,13,12,Didymodon giganteus
13,13,13,13,Didymodon ovatus
13-14,14,14,13,Didymodon recurvus
12-13,13,13,12,Didymodon rigidulus
13,13,13,13,Didymodon rigidulus var. glaucus
13,13,13,13,Didymodon rigidulus var. gracilis
13,13,13,13,Didymodon rigidulus var. validus
13,13,13,13,Didymodon rufescens
12-13,13,13,12,Didymodon tophaceus
13-14,14,13,13,Didymodon vinealis
8-9,9,8,8,Diphyscium foliosum
8,8,8,8,Diphyscium fulvifolium
8-9,9,9,8,Diplophyllum albicans
8,8,8,8,Diplophyllum apiculatum
8-9,9,9,8,Diplophyllum plicatum
8-9,9,9,8,Diplophyllum serrulatum
8-9,9,8,8,Diplophyllum taxifolium
15,15,15,15,Diplostichum longirostre
11-13,13,13,11,Discelium nudum
7-13-14-28,28,14,7,Distichium capillaceum
42,42,42,42,Distichium hagenii
13-14,14,13,13,Distichium inclinatum
10,10,10,10,Distichophyllum collenchymatosum
10,10,10,10,Distichophyllum maibarae
10,10,10,10,Distichophyllum obtusifolium
13,13,13,13,Ditrichum difficile
13-14,14,13,13,Ditrichum flexicaule
13,13,13,13,Ditrichum gracile
13-14,14,13,13,Ditrichum heteromallum
13-14,14,13,13,Ditrichum lineare
13,13,13,13,Ditrichum montanum
13-26,26,26,13,Ditrichum pallidum
13-14,14,13,13,Ditrichum pusillum
13,13,13,13,Ditrichum rhynchostegium
26,26,26,26,Ditrichum schimperi
14,14,14,14,Ditrichum subulatum
13,13,13,13,Ditrichum tortipes
13,13,13,13,Ditrichum tortuloides
11,11,11,11,Dolichomitra cymbifolia
10,10,10,10,Dolichomitriopsis crenulata
10-11,11,10,10,Dolichomitriopsis diversiformis
9,9,9,9,Douinia ovata
10-11-12-20,20,11,10,Drepanocladus aduncus
20,20,20,20,Drepanocladus aduncus var. kneiffii
11-12,12,12,11,Drepanocladus exannulatus
10-20-22-24,24,20,10,Drepanocladus fluitans
10-20-22-23,23,10,10,Drepanocladus revolvens
33,33,33,33,Drepanocladus sendtneri
7-9-10-11-12-20,20,11,7,Drepanocladus uncinatus
9,9,9,9,Drepanolejeunea vesiculosa
9-18-27,27,9,9,Dumortiera hirsuta
18,18,18,18,Dumortiera hirsuta subsp. nepalensis
11,11,11,11,Duthiella flaccida
10-11,11,10,10,Duthiella speciosissima
11,11,11,11,Duthiella wallichii
10,10,10,10,Echinodium hispidum
10-11,11,10,10,Ectropothecium sikkimense
10,10,10,10,Ectropothecium umbilicatum
10,10,10,10,Ectropothecium umbilicatum var. protractum
13,13,13,13,Encalypta affinis
13-14,14,14,13,Encalypta alpina
13,13,13,13,Encalypta ciliata
12,12,12,12,Encalypta mutica
26-27,27,26,26,Encalypta procera
13,13,13,13,Encalypta rhaptocarpa
13,13,13,13,Encalypta streptocarpa
13-14-26-39,39,14,13,Encalypta vulgaris
11,11,11,11,Entodon bandongiae
11,11,11,11,Entodon beyrichii
10,10,10,10,Entodon brevisetus
11,11,11,11,Entodon challengeri
20,20,20,20,Entodon cladorrhizans
11,11,11,11,Entodon compressus
11,11,11,11,Entodon conchophyllus
11,11,11,11,Entodon concinnus
