order	lineage	superorder	family_scientific_name	scientific_name	english_name	ncbi_taxon_id	status	iucn_2016-2024	cites	main_project	second_project	publication	project	all_projects	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published	sequencing_status
m53	Mammals	Marsupials	Dasyuridae	Sminthopsis crassicaudata	fat-tailed dunnart	9301	4	Least Concern		Colossal			VGP	Colossal,VGP	Colossal,VGP	Colossal,VGP	Colossal,VGP				Colossal,VGP			open
m53	Mammals	Marsupials	Dasyuridae	Sarcophilus harrisii	Tasmanian devil	9305		Endangered		Colossal			VGP	Colossal,VGP										
m53	Mammals	Marsupials	Dasyuridae	Dasyurus maculatus	tiger quoll	9281		Vulnerable		Colossal			VGP	Colossal,VGP										
m54	Mammals	Marsupials	Notoryctidae	Notoryctes typhlops	Southern marsupial mole	37699	4	Least Concern		Individual			VGP	Individual,VGP	Individual,VGP	Individual,VGP	Individual,VGP				Individual,VGP			open
m55	Mammals	Marsupials	Microbiotheriidae	Dromiciops gliroides	monito del montes	33562	4	Near Threatened		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m56	Mammals	Marsupials	Didelphidae	Monodelphis domestica	gray short-tailed opossum	13616	4	Least Concern		Allen	VGP		VGP	Allen,VGP	Allen,VGP	Allen,VGP	Allen,VGP				Allen,VGP			open
m57	Mammals	Marsupials	Caenolestidae	Lestoros inca	Incan caenolestid	42731	3	Least Concern					VGP	VGP	VGP	VGP	VGP							in_progress
m58	Mammals	Monotremes	Ornithorhynchidae	Ornithorhynchus anatinus	platypus	9258	4	Near Threatened		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m58	Mammals	Monotremes	Tachyglossidae	Tachyglossus aculeatus	short-beaked echidna	9261		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Estrildidae	Taeniopygia guttata	zebra finch	59729	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b1	Birds	Core landbirds	Estrildidae	Lonchura striata domestica	Bengalese finch	40157		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Viduidae	Vidua chalybeata	village indigobird	81927		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Fringillidae	Haemorhous mexicanus	house finch	30427		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Fringillidae	Fringilla coelebs	common chaffinch	37598		Least Concern		DToL?			VGP	DToL?,VGP										
b1	Birds	Core landbirds	Fringillidae	Serinus canaria	canary	9135		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Fringillidae	Spinus tristis	American goldfinch	54773		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Melospiza georgiana	swamp sparrow	44398		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Melospiza melodia	song sparrow	44397		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Ammodramus caudacutus	saltmarsh sparrow	2857398		Endangered		VGP			VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Ammospiza nelsoni	Nelson's sparrow	2857394		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Ammospiza maritima	seaside sparrow	2707177		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Passerculus sandwichensis	Savannah sparrow	161624		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Spizella passerina	chipping sparrow	40210		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Passerellidae	Zonotrichia albicollis	white-throated sparrow	44394		Least Concern		Vocal learning			VGP	VGP,Vocal learning										
b1	Birds	Core landbirds	Passeridae	Passer domesticus	house sparrow	48849		Least Concern		ERGA			VGP	ERGA,VGP										
b1	Birds	Core landbirds	Sylviidae	Sylvia borin	garden warbler	73324		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Sylviidae	Sylvia atricapilla	European blackcap	48155		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Hirundinidae	Hirundo rustica	barn swallow	43150		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Parulidae	Geothlypis trichas	common yellowthroat	135433		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Turdidae	Turdus migratorius	American robin	9188		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Turdidae	Erithacus rubecula	European robin	37610		Least Concern		Sanger 25G			VGP	25GP,VGP										
b1	Birds	Core landbirds	Turdidae	Catharus ustulatus	Swainson's thrush	91951		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Turdidae	Poecile atricapillus	black-capped chickadee	48891		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Muscicapidae	Oenanthe melanoleuca	eastern black-eared wheatear	2939378		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Muscicapidae	Copsychus sechellarum	Seychelles magpie-robin	797021		Endangered					VGP	VGP										
b1	Birds	Core landbirds	Mimidae	Dumetella carolinensis	grey catbird	111981		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Cinclidae	Cinclus cinclus	white-throated dipper	127875		Least Concern		DToL			VGP	DToL,VGP										
b1	Birds	Core landbirds	Certhiidae	Troglodytes aedon	house wren	58211							VGP	VGP										
b1	Birds	Core landbirds	Certhiidae	Sitta carolinensis	white-breasted nuthatch	50250							VGP	VGP										
b1	Birds	Core landbirds	Icteridae	Agelaius phoeniceus	red-winged blackbird	39638		Least Concern		Brood Parasitic			VGP	Brood Parasitic,VGP										
b1	Birds	Core landbirds	Icteridae	Baeolophus bicolor	tufted titmouse	88114		Least Concern		Vocal learning			VGP	VGP,Vocal learning										
b1	Birds	Core landbirds	Icteridae	Molothrus ater	brown-headed cowbird	84834		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Icteridae	Sturnus vulgaris	European starling	9172		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Sturnidae	Acridotheres tristis	common myna	279927		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Paradisaeidae	Lycocorax pyrrhopterus	paradise crow	681192		Least Concern					VGP	VGP										
b1	Birds	Core landbirds	Corvidae	Corvus hawaiiensis	Hawaiian crow	134902		Extinct In The Wild		VGP			VGP	VGP										
b1	Birds	Core landbirds	Corvidae	Corvus moneduloides	New Caledonian crow	1196302		Least Concern		VGP			VGP	VGP										
b1	Birds	Core landbirds	Corvidae	Cyanocitta cristata	blue jay	28727		Least Concern		VGP			VGP	VGP										
b2	Birds	Core landbirds	Pipridae	Chiroxiphia lanceolata	lanced-tailed manakin	296741	4	Least Concern		VGP	RCN Manakin		VGP	RCN Manakin,VGP	RCN Manakin,VGP	RCN Manakin,VGP	RCN Manakin,VGP				RCN Manakin,VGP			open
b2	Birds	Core landbirds	Pipridae	Dixiphia pipra	white-crowned manakin	415032		Least Concern		VGP			VGP	VGP										
b2	Birds	Core landbirds	Pipridae	Willisornis vidua	Xingu scale-backed antbird	1566151				AmaZoomics			VGP	AmaZoomics,VGP										
b2	Birds	Core landbirds	Pipridae	Hypocnemis striata	Spix's warbling antbird	1202453				AmaZoomics			VGP	AmaZoomics,VGP										
b3	Birds	Core landbirds	Acanthisittidae	Acanthisitta chloris	rifleman	57068	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b4	Birds	Core landbirds	Strigopidae	Strigops habroptilus	kakapo	2489341	4	Critically Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b4	Birds	Core landbirds	Psittaculidae	Melopsittacus undulatus	budgerigar	13146		Least Concern		VGP			VGP	VGP										
b4	Birds	Core landbirds	Psittacidae	Ara ararauna	blue-and-gold macaw	9226		Least Concern		VGP			VGP	VGP										
b4	Birds	Core landbirds	Psittacidae	Anodorhynchus hyacinthinus	hyacinth macaw	51900		Vulnerable		AmaZoomics			VGP	AmaZoomics,VGP										
b4	Birds	Core landbirds	Psittacidae	Amazona ochrocephala	yellow-crowned amazon	151761		Least Concern		VGP			VGP	VGP										
b4	Birds	Core landbirds	Psittacidae	Lathamus discolor	swift parrot	678569		Critically Endangered		VGP			VGP	VGP										
b4	Birds	Core landbirds	Psittacidae	Guaruba guaruba	golden parakeet	51906		Vulnerable		AmaZoomics			VGP	AmaZoomics,VGP										
b4	Birds	Core landbirds	Psittacidae	Psittacula echo	Mauritius parakeet	232653		Vulnerable		DToL			VGP	DToL,VGP										
b5	Birds	Core landbirds	Falconidae	Falco peregrinus	peregrine falcon	8954	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b5	Birds	Core landbirds	Falconidae	Falco rusticolus	gyrfalcon	120794		Least Concern		Falcon			VGP	Falcon,VGP										
b5	Birds	Core landbirds	Falconidae	Falco biarmicus	Lanner falcon	345155		Least Concern		Falcon			VGP	Falcon,VGP										
b5	Birds	Core landbirds	Falconidae	Falco cherrug	saker falcon	345164		Endangered		Falcon			VGP	Falcon,VGP										
b5	Birds	Core landbirds	Falconidae	Falco naumanni	lesser kestrel	148594		Least Concern		Falcon			VGP	Falcon,VGP										
b5	Birds	Core landbirds	Falconidae	Falco punctatus	Mauritius kestrel	148596		Endangered		DToL			VGP	DToL,VGP										
b6	Birds	Core landbirds	Cariamidae	Cariama cristata	red-legged seriema	54380	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b7	Birds	Core landbirds	Picidae	Dryobates pubescens	downy woodpecker	118200	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b7	Birds	Core landbirds	Lybiidae	Pogoniulus pusillus	red-fronted tinkerbird	488313		Least Concern		VGP			VGP	VGP										
b8	Birds	Core landbirds	Meropidae	Merops nubicus	carmine bee-eater	57421	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b9	Birds	Core landbirds	Bucorvidae	Bucorvus abyssinicus	Abyssinian ground hornbill	153643	4	Near Threatened		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b10	Birds	Core landbirds	Trogonidae	Trogon surrucura	surucua trogon	297711	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b11	Birds	Core landbirds	Leptosomidae	Leptosomus discolor	cuckoo-roller	188344	4	Least Concern		VGP	B10K		VGP	B10K,VGP	B10K,VGP	B10K,VGP	B10K,VGP				B10K,VGP			open
b12	Birds	Core landbirds	Coliidae	Colius striatus	speckled mousebird	57412	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b13	Birds	Core landbirds	Strigidae	Strix aluco	tawny owl	111821	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b13	Birds	Core landbirds	Strigidae	Pulsatrix perspicillata	spectacled owl	111820		Least Concern		AmaZoomics			VGP	AmaZoomics,VGP										
b14	Birds	Core landbirds	Accipitridae	Aquila chrysaetos	European golden eagle	8962	4	Least Concern		Sanger 25G			VGP	25GP,VGP	25GP,VGP	25GP,VGP	25GP,VGP				25GP,VGP			open
b14	Birds	Core landbirds	Accipitridae	Haliaeetus albicilla	white-tailed eagle	8969		Least Concern		ERGA			VGP	ERGA,VGP										
b14	Birds	Core landbirds	Accipitridae	Harpia harpyja	harpy eagle	202280		Near Threatened		DToL			VGP	DToL,VGP										
b14	Birds	Core landbirds	Accipitridae	Morphnus guianensis	crested eagle	252789		Near Threatened		AmaZoomics			VGP	AmaZoomics,VGP										
b14	Birds	Core landbirds	Accipitridae	Accipiter gentilis	Northern goshawk	8957		Least Concern		DToL			VGP	DToL,VGP										
b14	Birds	Core landbirds	Accipitridae	Gypaetus barbatus	bearded vulture	33610		Near Threatened		CatalanBP			VGP	CBP,VGP										
b14	Birds	Core landbirds	Accipitridae	Buteo buteo	common buzzard	30397		Least Concern		DToL			VGP	DToL,VGP										
b15	Birds	Core landbirds	Cathartidae	Sarcoramphus papa	king vulture	43583	4	Least Concern		AmaZoomics			VGP	AmaZoomics,VGP	AmaZoomics,VGP	AmaZoomics,VGP	AmaZoomics,VGP				AmaZoomics,VGP			open
b16	Birds	Core waterbirds	Pelecanidae	Pelecanus crispus	dalmatian pelican	36300	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b17	Birds	Core waterbirds	Ardeidae	Ardea goliath	goliath heron	2767355	3	Least Concern		AfricaBP		Darwin UK EBP / 48-bird genome original; possible sample from Denis Larkin	VGP	AFRICABP,VGP	AFRICABP,VGP	AFRICABP,VGP	AFRICABP,VGP							in_progress
b18	Birds	Core waterbirds	Threskiornithidae	Theristicus caerulescens	plumbeous ibis	1118847	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b18	Birds	Core waterbirds	Threskiornithidae	Platalea leucorodia	Eurasian spoonbill	257867		Least Concern					VGP	VGP										
b19	Birds	Core waterbirds	Phalacrocoracidae	Gulosus aristotelis	European shag	126867	4	Least Concern		DToL			VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
b19	Birds	Core waterbirds	Phalacrocoracidae	Microcarbo africanus	reed cormorant	1523049		Least Concern		AfricaBP			VGP	AFRICABP,VGP										
b19	Birds	Core waterbirds	Phalacrocoracidae	Phalacrocorax carbo	great cormorant	9209		Least Concern		DToL			VGP	DToL,VGP										
b20	Birds	Core waterbirds	Sulidae	Morus bassanus	Northern gannet	37578	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b21	Birds	Core waterbirds	Ciconiidae	Ciconia maguari	Maguari stork	52777	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b22	Birds	Core waterbirds	Procellariidae	Calonectris borealis	Cory's shearwater	1323832	4	Least Concern		DToL			VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
b23	Birds	Core waterbirds	Spheniscidae	Spheniscus humboldti	Humboldt penguin	9240	4	Not evaluated					VGP	VGP	VGP	VGP	VGP				VGP			open
b24	Birds	Core waterbirds	Gaviidae	Gavia stellata	red-throated Loon	37040	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b25	Birds	Core waterbirds	Phaethontidae	Phaethon aethereus	red-billed tropicbird	37045	4	Least Concern		DToL			VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
b26	Birds	Core waterbirds	Rhynochetidae	Rhynochetos jubatus	Kagu	54386	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b27	Birds	Core waterbirds	Charadriidae	Pluvialis apricaria	European golden plover	670352	4	Least Concern		VGP	DToL		VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
b27	Birds	Core waterbirds	Alcidae	Alca Torda	razorbill	28689		Near Threatened		VGP			VGP	VGP										
b27	Birds	Core waterbirds	Laridae	Sterna hirundo	common tern	108405		Least Concern		VGP			VGP	VGP										
b27	Birds	Core waterbirds	Laridae	Rissa tridactyla	black-legged kittiwake	75485		Vulnerable		VGP			VGP	VGP										
b27	Birds	Core waterbirds	Laridae	Chroicocephalus ridibundus	black-headed gull	1192867		Least Concern		DToL			VGP	DToL,VGP										
b27	Birds	Core waterbirds	Laridae	Larus fuscus	lesser black-backed gull	8915		Least Concern		DToL			VGP	DToL,VGP										
b27	Birds	Core waterbirds	Laridae	Numenius arquata	Eurasian curlew	31919		Least Concern		DToL			VGP	DToL,VGP										
b27	Birds	Core waterbirds	Laridae	Larus michahellis	yellow-legged gull	119627		Least Concern		DToL			VGP	DToL,VGP										
b27	Birds	Core waterbirds	Laridae	Larus argentatus	herring gull	35669		Least Concern		DToL			VGP	DToL,VGP										
b28	Birds	Core waterbirds	Gruidae	Balearica regulorum gibbericeps	grey crowned-crane	100784	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b28	Birds	Core waterbirds	Gruidae	Grus americana	whooping crane	9117		Endangered		VGP			VGP	VGP										
b28	Birds	Core waterbirds	Gruidae	Grus grus	Eurasian crane	40816		Least Concern		DToL			VGP	DToL,VGP										
b28	Birds	Core waterbirds	Rallidae	Porphyrio hochstetteri	takahe	439704		Endangered		VGP			VGP	VGP										
b28	Birds	Core waterbirds	Rallidae	Gallinula chloropus	common moorhen	9123		Least Concern		DToL			VGP	DToL,VGP										
b29	Birds	Core waterbirds	Opisthocomidae	Opisthocomus hoazin	hoatzin	30419	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b30	Birds	Caprimulgimorphae	Trochilidae	Calypte anna	Anna's hummingbird	9244	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b30	Birds	Caprimulgimorphae	Trochilidae	Phaethornis superciliosus	long-tailed hermit	46513		Least Concern		Self			VGP	Self,VGP										
b30	Birds	Caprimulgimorphae	Trochilidae	Heliangelus exortis	tourmaline sunangel	472823		Least Concern		Individual			VGP	Individual,VGP										
b31	Birds	Caprimulgimorphae	Apodidae	Apus apus	common swift	8895	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b32	Birds	Caprimulgimorphae	Hemiprocnidae	Hemiprocne comata	whiskered treeswift	243314	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b33	Birds	Caprimulgimorphae	Caprimulgidae	Caprimulgus europaeus	Eurasian nightjar	111811	4	Least Concern		DToL	VGP		VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
b34	Birds	Caprimulgimorphae	Aegothelidae	Aegotheles albertisi	mountain owlet-nightjar	48277	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b35	Birds	Caprimulgimorphae	Podargidae	Podargus strigoides	tawny frogmouth	8905	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b36	Birds	Caprimulgimorphae	Steatornithidae	Steatornis caripensis	oilbird	48435	2	Least Concern					VGP	VGP										
b37	Birds	Caprimulgimorphae	Nyctibiidae	Nyctibius grandis	great potoo	48427	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b38	Birds	Otidimorphae	Otididae	Chlamydotis macqueenii	MacQueen's bustard	187382	4	Vulnerable		VGP	Qatar		VGP	Qatar,VGP	Qatar,VGP	Qatar,VGP	Qatar,VGP				Qatar,VGP			open
b39	Birds	Otidimorphae	Musophagidae	Tauraco erythrolophus	red-crested turaco	121530	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b40	Birds	Otidimorphae	Cuculidae	Cuculus canorus	common cuckoo	55661	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b41	Birds	Columbea	Mesitornithidae	Mesitornis unicolor	brown mesite	54374	3	Vulnerable					VGP	VGP	VGP	VGP	VGP							in_progress
b42	Birds	Columbea	Pteroclidae	Pterocles gutturalis	yellow-throated sandgrouse	240206	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b43	Birds	Columbea	Columbidae	Streptopelia turtur	European turtle dove	177155	4	Vulnerable		Sanger 25G			VGP	25GP,VGP	25GP,VGP	25GP,VGP	25GP,VGP				25GP,VGP			open
b43	Birds	Columbea	Columbidae	Streptopelia decaocto	Eurasian collared-dove	177147		Least Concern		DToL			VGP	DToL,VGP										
b43	Birds	Columbea	Columbidae	Nesoenas mayeri	pink pigeon	187126		Vulnerable		VGP			VGP	VGP										
b43	Birds	Columbea	Columbidae	Caloenas nicobarica	Nicobar pigeon	187106		Vulnerable		Colossal			VGP	Colossal,VGP										
b43	Birds	Columbea	Columbidae	Patagioenas fasciata	band-tailed pigeon	372321		Least Concern		Revive & Restore			VGP	Revive & Restore,VGP										
b43	Birds	Columbea	Columbidae	Columba livia	rock dove	8932		Least Concern		Revive & Restore			VGP	Revive & Restore,VGP										
b44	Birds	Columbea	Phoenicopteridae	Phoenicopterus ruber	American flamingo	9217	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b45	Birds	Columbea	Podicipedidae	Aechmophorus clarkii	Clarke’s grebe	190660	3	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP							in_progress
b46	Birds	GalloAnserformes	Phasianidae	Gallus gallus	white leghorn layer chicken	9031	4	Least Concern		VGP		Luohao Xu <luohaox@swu.edu.cn>	VGP	VGP	VGP	VGP	VGP				VGP			open
b46	Birds	GalloAnserformes	Phasianidae	Lagopus muta	rock ptarmigan	64668		Least Concern		VGP			VGP	VGP										
b46	Birds	GalloAnserformes	Phasianidae	Tetrao urogallus	Western capercaillie	100830		Least Concern		DToL, ERGA			VGP	DToL, ERGA,VGP										
b46	Birds	GalloAnserformes	Phasianidae	Coturnix chinensis	king quail	46218		Least Concern		VGP			VGP	VGP										
b47	Birds	GalloAnserformes	Anatidae	Aythya fuligula	tufted duck	219594	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b47	Birds	GalloAnserformes	Anatidae	Aythya ferina	common pochard	219593		Vulnerable		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Netta rufina	red-crested pochard	30387		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Anas platyrhynchos domestica	Pekin duck	8839		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Cygnus olor	mute swan	8869		Least Concern		VGP			VGP	VGP										
b47	Birds	GalloAnserformes	Anatidae	Anas acuta	northern pintail	28680		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Anser brachyrhynchus	pink-footed goose	132585		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Anser anser	domestic goose	8843		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Bucephala clangula	common goldeneye	107022		Least Concern		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Clangula hyemalis	long-tailed duck	197941		Vulnerable		DToL			VGP	DToL,VGP										
b47	Birds	GalloAnserformes	Anatidae	Cygnus columbianus	tundra swan	110926		Least Concern					VGP	VGP										
b47	Birds	GalloAnserformes	Anatidae	Mergus octosetaceus	Brazilian merganser	1570318		Critically Endangered		VGP			VGP	VGP										
b48	Birds	Palaeognathae	Struthionidae	Struthio camelus australis	common ostrich	441894	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b49	Birds	Palaeognathae	Tinamidae	Eudromia elegans	elegant crested tinamou	8805	4	Near Threatened		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b50	Birds	Palaeognathae	Dromaiidae	Dromaius novaehollandiae	emu	8790	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b51	Birds	Palaeognathae	Apterygidae	Apteryx mantelli	North Island brown kiwi	2696672	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
b52	Birds	Palaeognathae	Rheidae	Rhea pennata	lesser rhea	8795	4	Near Threatened		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r1	Reptiles	Crocodylia	Crocodylidae	Crocodylus niloticus	Nile crocodile	8501	3	Least Concern					VGP	VGP	VGP	VGP	VGP							in_progress
r2	Reptiles	Crocodylia	Alligatoridae	Alligator mississippiensis	American alligator	8496	4	Least Concern	II	VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r3	Reptiles	Crocodylia	Gavialidae	Gavialis gangeticus	Indian gharial	94835	4	Critically Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r4	Reptiles	Testudines, Cryptodira	Carettochelyidae	Carettochelys insculpta	pig-nosed turtle	44489	4	Vulnerable		Individual		PMID: 38521795	VGP	Individual,VGP	Individual,VGP	Individual,VGP	Individual,VGP				Individual,VGP			open
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Chelonia mydas	green sea turtle	8469	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Caretta caretta	loggerhead sea turtle	8467		Vulnerable		VGP			VGP	VGP										
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Lepidochelys kempii	Kemp's ridley sea turtle	8472		Critically Endangered					VGP	VGP										
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Lepidochelys olivacea	Pacific ridley	27788		Vulnerable					VGP	VGP										
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Natator depressus	Australian flatback sea turtle	27790							VGP	VGP										
r5	Reptiles	Testudines, Cryptodira	Cheloniidae	Eretmochelys imbricata	Hawksbill sea turtle	27787							VGP	VGP										
r6	Reptiles	Testudines, Cryptodira	Chelydridae	Macrochelys suwanniensis	Suwannee snapping turtle	3026461	4	At risk G2		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r7	Reptiles	Testudines, Cryptodira	Dermatemydidae	Dermatemys mawii	Central American river turtle	55550	3	Critically Endangered					VGP	VGP	VGP	VGP	VGP							in_progress
r8	Reptiles	Testudines, Cryptodira	Dermochelyidae	Dermochelys coriacea	leatherback sea turtle	27794	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r9	Reptiles	Testudines, Cryptodira	Emydidae	Emys orbicularis	European pond turtle	82168	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r9	Reptiles	Testudines, Cryptodira	Emydidae	Malaclemys terrapin	diamondback terrapin	8485		Vulnerable		VGP			VGP	VGP										
r10	Reptiles	Testudines, Cryptodira	Geoemydidae	Pangshura tecta	Indian roofed turtle	260642	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r11	Reptiles	Testudines, Cryptodira	Kinosternidae	Sternotherus odoratus	Eastern musk turtle	142480	4	Least Concern		Canadian Biogenome Project			VGP	CANBP,VGP	CANBP,VGP	CANBP,VGP	CANBP,VGP				CANBP,VGP			open
r12	Reptiles	Testudines, Cryptodira	Platysternidae	Platysternon megacephalum	big-headed turtle	55544	3	Endangered					VGP	VGP	VGP	VGP	VGP							in_progress
r13	Reptiles	Testudines, Cryptodira	Testudinidae	Gopherus evgoodei	Goode's Thornscrub Tortoise	1825980	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
r13	Reptiles	Testudines, Cryptodira	Testudinidae	Gopherus flavomarginatus	Mexican gopher tortoise	286002		Critically Endangered		VGP			VGP	VGP										
r14	Reptiles	Testudines, Cryptodira	Trionychidae	Pelodiscus sinensis	Chinese softshell turtle	55534	3	Vulnerable					VGP	VGP	VGP	VGP	VGP							in_progress
r15	Reptiles	Testudines, Pleurodira	Chelidae	Myuchelys georgesi	Bellinger river turtle	1041117	4	Not evaluated		Threatened Species Initiative (TSI)			VGP	TSI,VGP	TSI,VGP	TSI,VGP	TSI,VGP				TSI,VGP			open
r15	Reptiles	Testudines, Pleurodira	Chelidae	Hydromedusa tectifera	Argentine snake-necked turtle	61327		Not evaluated		VGP			VGP	VGP										
r16	Reptiles	Testudines, Pleurodira	Pelomedusidae	Pelomedusa somalica	African side-necked turtle	1488670	3			VGP			VGP	VGP	VGP	VGP	VGP							in_progress
r17	Reptiles	Testudines, Pleurodira	Podocnemididae	Podocnemis expansa	arrau turtle	44507	4	Critically Endangered		Amazoomics			VGP	Amazoomics,VGP	Amazoomics,VGP	Amazoomics,VGP	Amazoomics,VGP				Amazoomics,VGP			open
r17	Reptiles	Testudines, Pleurodira	Podocnemididae	Podocnemis unifilis	yellow-spotted Amazon river turtle	227871		Vulnerable		VGP			VGP	VGP										
r18	Reptiles	Squamata	Boidae	Candoia aspera	viper boa	51853	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
