PHYLUM	ORDER	GENUS	SPECIES	METHOD	1C in pg	1C in Mbp	x	FGSDID	SPECIMEN ID
Ascomycota	Botryosphaeriales	Phyllosticta	citrichinensis	CS	0.030	29.16		5966	CBS 130529 v1.0
Ascomycota	Diaporthales	Plagiostoma	alneum	Fl-PC	0.032	30.97	2	2408	REG (Weber 475)
Ascomycota	Diaporthales	Plagiostoma	alneum	Fl-PC	0.033	32.68	2	2409	BARAL 3931 (Weber 462)
Ascomycota	Eurotiales	Penicillium i	chrysogenum	CS	0.032	31.34		5311	v1.0
Ascomycota	Helotiales		sp	CS	0.059	58.19		5809	Helotiales sp. T6G9; Taxonomy ID: 2037899
Ascomycota	Helotiales		sp	CS	0.087	85.09		5714	Helotiales sp. F229
Ascomycota	Helotiales	Arachnopeziza sp.		Fl-PC	0.031	30.21	2	2211	REG (Weber 743M)
Ascomycota	Helotiales	Arachnopeziza sp.		Fl-PC	0.033	32.68	2	2214	BARAL 4444 (Weber 88)
Ascomycota	Helotiales	Bisporella sp.		CS	0.058	56.47		5968	PMI_857 v1.0
Ascomycota	Helotiales	Bisporella sp.		Fl-PC	0.051	49.78	3	2462	BARAL 4192 (Weber 686)
Ascomycota	Helotiales	Calycina sp.		Fl-PC	0.037	36.67	2	2345	BARAL 3942 (Weber 498)
Ascomycota	Helotiales	Calycina sp.		Fl-PC	0.039	38.38	2	2350	REG (Weber 425)
Ascomycota	Helotiales	Calycina sp.		Fl-PC	0.050	48.83	3	2352	BARAL 3908 (Weber 423)
Ascomycota	Helotiales	Calycina sp.		Fl-PC	0.051	49.78	3	2353	REG (Weber 503)
Ascomycota	Helotiales	Ciliolarina sp.		Fl-PC	0.054	53.01	3	2312	BARAL 4198 (Weber688)
Ascomycota	Helotiales	Cistella sp.		Fl-PC	0.067	65.93	4	2284	BARAL 3787 (Weber 333)
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.017	17.10	1	2373	REG (Weber 700)
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.019	18.81	1	2374	BARAL 4041
