institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	9458823	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Noctuidae	Allophyes	oxycanthae	2021	sample_collected	DTOL	NHM
NHMUK	10060252	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Agonoxenidae	Dystebenna	stephensi	2022	sample_collected	DTOL	NHM
NHMUK	9802773	Dry - pinned	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Monochroa	palustrella	2021	sample_collected	DTOL	NHM
NHMUK	9970407	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Arcitalitridae	Arcitalitrus	dorrieni	2022	sample_collected	DTOL	NHM
NHMUK	9294717	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Arcitalitridae	Arcitalitrus	dorrieni	2021	sample_collected	DTOL	NHM
NHMUK	9528660	80% ethanol	Arthropoda	Malacostraca	Amphipoda	Arcitalitridae	Arcitalitrus	dorrieni	2021	sample_collected	DTOL	NHM
NHMUK	9414855	80% ethanol	Arthropoda	Malacostraca	Amphipoda	Arcitalitridae	Arcitalitrus	dorrieni	2021	sample_collected	DTOL	NHM
NHMUK	9264528	Liquid Nitrogen	Arthropoda	Malacostraca	Amphipoda	Arcitalitridae	Arcitalitrus	dorrieni	2020	sample_collected	DTOL	NHM
NHMUK	10387218	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2023	sample_collected	DTOL	NHM
NHMUK	10387221	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2023	sample_collected	DTOL	NHM
NHMUK	9824350	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	9824352	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	9824353	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	9824349	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	9824351	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	9582431	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Cicadellidae	Idiocerus	rutilans	2022	sample_collected	DTOL	NHM
NHMUK	9582430	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Cicadellidae	Viridicerus	ustulatus	2022	sample_collected	DTOL	NHM
NHMUK	9777165	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777170	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777168	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777166	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777169	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777167	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9777164	Dry frozen (-80°C)	Arthropoda	Insecta	Collembola	Poduridae	Bilobella	braunerae	2022	sample_collected	DTOL	NHM
NHMUK	9838407	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Diapriidae	Diapria	conica	2022	sample_collected	DTOL	NHM
NHMUK	9865857	80% ethanol					Acanthochiton	crinitus	2022	sample_collected	DTOL	NHM
NHMUK	9865843	80% ethanol					Acanthochiton	crinitus	2022	sample_collected	DTOL	NHM
NHMUK	9865830	80% ethanol	Annelida	Polychaeta	Echiuroidea	Bonellidae	Maxmuelleria	lankesteri	2022	sample_collected	DTOL	NHM
NHMUK	9865831	80% ethanol	Annelida	Polychaeta	Echiuroidea	Bonellidae	Maxmuelleria	lankesteri	2022	sample_collected	DTOL	NHM
NHMUK	10060349	80% ethanol	Arthropoda	Pauropoda	Tetemerocerata	Pauropodidae	Stylopauropus	pedunculatus	2022	sample_collected	DTOL	NHM
NHMUK	10060350	80% ethanol	Arthropoda	Pauropoda	Tetemerocerata	Pauropodidae	Stylopauropus	pedunculatus	2022	sample_collected	DTOL	NHM
NHMUK	9865842	80% ethanol	Mollusca				Acanthocardia	sp.	2022	sample_collected	DTOL	NHM
NHMUK	9346727	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Miridae	Calocoris	stysi	2021	sample_collected	DTOL	NHM
NHMUK	9289856	100% ethanol	Arthropoda	Insecta	Hemiptera	Miridae	Calocoris	stysi	2020	sample_collected	DTOL	NHM
NHMUK	9383044	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Lymantriidae	Lymantria	dispar	2021	sample_collected	DTOL	NHM
NHMUK	10379479	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Xorides	filiformis	2023	sample_collected	DTOL	NHM
NHMUK	10379478	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Xorides	filiformis	2023	sample_collected	DTOL	NHM
NHMUK	10379477	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Xorides	filiformis	2023	sample_collected	DTOL	NHM
NHMUK	10379476	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Xorides	filiformis	2023	sample_collected	DTOL	NHM
NHMUK	10364947	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Rhorus	suecicus	2023	sample_collected	DTOL	NHM
NHMUK	10364996	Dry frozen (-80°C)	Mollusca	Gastropoda	Stylommatophora	Pristilomatidae	Vitrea	crystallina	2023	sample_collected	DTOL	NHM
NHMUK	10364994	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364993	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364989	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364983	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364982	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364978	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10364975	80% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Kenleenus	armadas	2023	sample_collected	DTOL	NHM
NHMUK	10359708	80% ethanol	Arthropoda	Chilopoda	Geophilomorpha	Geophilidae	Chalandea	pinguis	2023	sample_collected	DTOL	NHM
NHMUK	10359645	80% ethanol	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	caelatum	2023	sample_collected	DTOL	NHM
NHMUK	10359643	80% ethanol	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	caelatum	2023	sample_collected	DTOL	NHM
NHMUK	8963979	Dry frozen (-200°C)	Arthropoda	Insecta	Diptera	Syrphidae	Baccha	elongatus	2019	sample_collected	DTOL	NHM
NHMUK	10060255	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Syrphidae	Baccha	elongatus	2022	sample_collected	DTOL	NHM
NHMUK	9866267	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Syrphidae	Baccha	elongatus	2022	sample_collected	DTOL	NHM
NHMUK	9346841	70% ethanol	Arthropoda	Insecta	Diptera	Syrphidae	Baccha	elongatus	2021	sample_collected	DTOL	NHM
NHMUK	9289910	100% ethanol	Arthropoda	Insecta	Diptera	Syrphidae	Baccha	elongatus	2020	sample_collected	DTOL	NHM
NHMUK	9008481	Dry frozen (-200°C)		Arachnida	Prostigmata	Trombidiidae			2019	sample_collected	DTOL	NHM
NHMUK	9008480	Dry frozen (-200°C)		Arachnida	Prostigmata	Trombidiidae			2019	sample_collected	DTOL	NHM
NHMUK	9008479	Dry frozen (-200°C)		Arachnida	Prostigmata	Trombidiidae			2019	sample_collected	DTOL	NHM
NHMUK	10283227	Dry frozen (-80°C)			Fabales	Fabaceae	Astragalus	nelsonianus	2022	sample_collected	DTOL	NHM
NHMUK	10283195	Dry frozen (-80°C)	Arthropoda	Arachnida	Araneae	Araneidae	Leviellus	stroemi	2022	sample_collected	DTOL	NHM
NHMUK	10282288	80% ethanol	Porifera	Demospongiae	Poecilosclerida	Esperiopsidae	Ulosa	digitata	2021	sample_collected	DTOL	NHM
NHMUK	10282287	80% ethanol	Porifera	Demospongiae	Axinellida	Stelligeridae	Stelligera	stuposa	2021	sample_collected	DTOL	NHM
NHMUK	10282196	80% ethanol	Chordata	Ascidiacea	Stolidobranchia	Stylidae	Asterocarpa	humilis	2021	sample_collected	DTOL	NHM
NHMUK	10282139	80% ethanol	Echinodermata	Ophiuroidea	Ophiacanthida	Ophiotomidae	Ophiocomina	nigra	2021	sample_collected	DTOL	NHM
NHMUK	9443152	80% ethanol	Echinodermata	Ophiuroidea	Ophiacanthida	Ophiotomidae	Ophiocomina	nigra	2021	sample_collected	DTOL	NHM
NHMUK	10282133	80% ethanol	Echinodermata	Holothuroidea	Holothuriida	Holothuriidae	Holothuria	forskali	2021	sample_collected	DTOL	NHM
NHMUK	10282078	80% ethanol	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Alcyonium	digitatum	2021	sample_collected	DTOL	NHM
NHMUK	9588984	80% ethanol	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Alcyonium	digitatum	2021	sample_collected	DTOL	NHM
NHMUK	9614357	80% ethanol	Annelida		Sipuncula	Golfingiidae	Golfingia	vulgaris	2020	sample_collected	DTOL	NHM
NHMUK	9614356	80% ethanol	Annelida		Sipuncula	Golfingiidae	Golfingia	vulgaris	2020	sample_collected	DTOL	NHM
NHMUK	9414854	70% ethanol	Arthropoda	Myriapoda					2021	sample_collected	DTOL	NHM
NHMUK	9470245	80% ethanol	Arthropoda	Myriapoda					2021	sample_collected	DTOL	NHM
NHMUK	9414849	70% ethanol	Arthropoda	Chilopoda	Geophilomorpha	Sogonidae	Strigamia	acuminata	2021	sample_collected	DTOL	NHM
NHMUK	9582355	80% ethanol	Arthropoda	Arachnida	Pseudoscorpiones	Neobisidae	Neobisium	carcinoides	2021	sample_collected	DTOL	NHM
NHMUK	9422574	70% ethanol	Arthropoda	Arachnida	Araneae	Gnaphosidae	Trachyzelotes	spp.	2021	sample_collected	DTOL	NHM
NHMUK	9582318	80% ethanol	Arthropoda	Diplopoda	Chordeumatida	Vandeleumatidae	Psichrosoma	breuili	2021	sample_collected	DTOL	NHM
NHMUK	9582316	80% ethanol	Arthropoda	Diplopoda	Chordeumatida	Vandeleumatidae	Psichrosoma	breuili	2021	sample_collected	DTOL	NHM
NHMUK	9582317	80% ethanol	Arthropoda	Diplopoda	Chordeumatida	Vandeleumatidae	Psichrosoma	breuili	2021	sample_collected	DTOL	NHM
NHMUK	10060348	80% ethanol	Arthropoda	Arachnida	Araneae	Araneidae	Gibbaranea	gibbosus	2022	sample_collected	DTOL	NHM
NHMUK	9528592	80% ethanol	Arthropoda	Chilopoda	Geophilomorpha	Sogonidae	Strigamia	crassipes	2021	sample_collected	DTOL	NHM
NHMUK	10176559	Dry frozen (-80°C)	Chordata	Aves	Scolopacidae		Philomachus	pugnax	2022	sample_collected	DTOL	NHM
NHMUK	9265552	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Ichneumon	affector	2020	sample_collected	DTOL	NHM
NHMUK	10061488	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Tipulidae	Nephrotoma	maculata	2022	sample_collected	DTOL	NHM
NHMUK	10061428	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Tenthredinidae	Xiphydria	camelus	2022	sample_collected	DTOL	NHM
NHMUK	10061267	80% ethanol	Arthropoda	Arachnida	Opiliones	Phalangiidae	Phalangium	sp.	2022	sample_collected	DTOL	NHM
NHMUK	10060965	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Tipulidae	Tipula	livida	2022	sample_collected	DTOL	NHM
NHMUK	10060730	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Lymantriidae	Pirga	mirabilis	2022	sample_collected	DTOL	NHM
NHMUK	10060531	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Curculionidae	Pentarthrum	confine	2022	sample_collected	DTOL	NHM
NHMUK	10060438	Dry frozen (-80°C)	Arthropoda	Insecta	Neuroptera	Myrmeleonidae	Palpares	speciosus	2022	sample_collected	DTOL	NHM
NHMUK	10060359	Dry frozen (-80°C)	Chordata	Aves			Rallus	aquaticus?	2022	sample_collected	DTOL	NHM
NHMUK	10060334	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Dryophthoridae	Sitophilus	granarius	2022	sample_collected	DTOL	NHM
NHMUK	9458847	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Dryophthoridae	Sitophilus	granarius	2021	sample_collected	DTOL	NHM
NHMUK	9458846	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Dryophthoridae	Sitophilus	granarius	2021	sample_collected	DTOL	NHM
NHMUK	10060165	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Miridae	Tuponia	mixticolor	2022	sample_collected	DTOL	NHM
NHMUK	10037193	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Miridae	Tuponia	mixticolor	2022	sample_collected	DTOL	NHM
NHMUK	10060124	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Pterophoridae	Oxyptilus	parvidactylus	2022	sample_collected	DTOL	NHM
NHMUK	10060094	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Ethmiidae	Ethmia	dodecea	2022	sample_collected	DTOL	NHM
NHMUK	9473939	80% ethanol	Arthropoda	Cirripedia					2021	sample_collected	DTOL	NHM
NHMUK	9474051	80% ethanol	Arthropoda	Cirripedia					2021	sample_collected	DTOL	NHM
NHMUK	9473852	Dry frozen (-80°C)	Arthropoda	Cirripedia					2021	sample_collected	DTOL	NHM
NHMUK	9528622	80% ethanol	Arthropoda	Malacostraca	Isopoda	Styloniscidae	Styloniscus	mauritiensis	2021	sample_collected	DTOL	NHM
NHMUK	9528621	80% ethanol	Arthropoda	Malacostraca	Isopoda	Styloniscidae	Styloniscus	mauritiensis	2021	sample_collected	DTOL	NHM
NHMUK	9474001	80% ethanol	Echinodermata	Asteroidea	Valvatida	Solasteridae	Crossaster	papposus	2021	sample_collected	DTOL	NHM
NHMUK	9588945	80% ethanol	Echinodermata	Asteroidea	Valvatida	Solasteridae	Crossaster	papposus	2021	sample_collected	DTOL	NHM
NHMUK	9588953	80% ethanol	Echinodermata	Asteroidea	Valvatida	Solasteridae	Crossaster	papposus	2021	sample_collected	DTOL	NHM
NHMUK	9823991	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ismaridae	Ismarus	similis	2022	sample_collected	DTOL	NHM
NHMUK	9473846	Dry frozen (-80°C)	Echinodermata	Ophiuroidea	Amphilepidida	Ophiopholidae	Ophiopholis	aculeata	2021	sample_collected	DTOL	NHM
NHMUK	9588956	80% ethanol	Echinodermata	Ophiuroidea	Amphilepidida	Ophiopholidae	Ophiopholis	aculeata	2021	sample_collected	DTOL	NHM
NHMUK	9968872	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Persiculida	Gephyrothuriidae	Paroriza	prouhoi	2022	sample_collected	DTOL	NHM
NHMUK	9968899	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Persiculida	Gephyrothuriidae	Paroriza	prouhoi	2022	sample_collected	DTOL	NHM
NHMUK	9968852	Dry frozen (-80°C)	Cnidaria	Anthozoa	Pennatulacea	Pseudumbellulidae	Solumbellula	monocephalus	2022	sample_collected	DTOL	NHM
NHMUK	9528598	80% ethanol	Mollusca	Gastropoda	Stylommatophora	Lauriidae	Lauria	cylindracea	2021	sample_collected	DTOL	NHM
NHMUK	9968891	Dry frozen (-80°C)	Arthropoda	Pycnogonida	Pantopoda	Colossendeidae	Colossendeis	c.f. cucurbita	2022	sample_collected	DTOL	NHM
NHMUK	9528599	80% ethanol	Mollusca	Gastropoda	Stylommatophora	Oxychilidae	Selenochlamys	ysbryda	2021	sample_collected	DTOL	NHM
NHMUK	9968875	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Persiculida	Molpadiodemidae	Molpadiodemas	villosus	2022	sample_collected	DTOL	NHM
NHMUK	9968902	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Persiculida	Molpadiodemidae	Molpadiodemas	villosus	2022	sample_collected	DTOL	NHM
NHMUK	9968885	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Alicellidae	Paralicella	caperesca	2022	sample_collected	DTOL	NHM
NHMUK	9968886	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Alicellidae	Paralicella	caperesca	2022	sample_collected	DTOL	NHM
NHMUK	9968884	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Alicellidae	Paralicella	caperesca	2022	sample_collected	DTOL	NHM
NHMUK	9968878	Dry frozen (-80°C)	Annelida		Sipuncula	Golfingiidae			2022	sample_collected	DTOL	NHM
NHMUK	9346837	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Perilissus	stigmaticus	2021	sample_collected	DTOL	NHM
NHMUK	9968848	Dry frozen (-80°C)	Mollusca	Cephalopoda	Bathyteuthida	Bathyteuthidae	Bathyteuthis	sp.	2022	sample_collected	DTOL	NHM
NHMUK	9968874	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Synallactida	Deimatidae	Oneirophanta	mutabilis	2022	sample_collected	DTOL	NHM
NHMUK	9968900	Dry frozen (-80°C)	Echinodermata	Holothuroidea	Synallactida	Deimatidae	Oneirophanta	mutabilis	2022	sample_collected	DTOL	NHM
NHMUK	9968909	Dry frozen (-80°C)		Actinopterygii	Perciformes	Chiasmodontidae	Chiasmodon	sp	2022	sample_collected	DTOL	NHM
NHMUK	9968892	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Parargissidae	Parargissa	sp. nov. aff. galatheae	2022	sample_collected	DTOL	NHM
NHMUK	9170249	Ethanol	Annelida	Clitellata	Arhynchobellida	Erpobdellidae	Trocheta	subviridis	2018	sample_collected	DTOL	NHM
NHMUK	9170618	Ethanol	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2013	sample_collected	DTOL	NHM
NHMUK	9173635	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9173595	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9173619	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9173628	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9170643	Ethanol	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2013	sample_collected	DTOL	NHM
NHMUK	9169894	Ethanol	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2018	sample_collected	DTOL	NHM
NHMUK	9173206	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9173215	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9173333	Dry frozen (-200°C)	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2019	sample_collected	DTOL	NHM
NHMUK	9169995	Ethanol	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2018	sample_collected	DTOL	NHM
NHMUK	9169996	Ethanol	Mollusca	Bivalvia	Sphaeriida	Sphaeriidae	Pisidium	subtruncatum	2018	sample_collected	DTOL	NHM
NHMUK	9588971	80% ethanol				Semelidae	Abra	sp	2021	sample_collected	DTOL	NHM
NHMUK	9588970	80% ethanol				Semelidae	Abra	sp	2021	sample_collected	DTOL	NHM
NHMUK	9588962	80% ethanol				Semelidae	Abra	sp	2021	sample_collected	DTOL	NHM
