	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
5042	Legatus leucophaius	leucophaius	Piratic Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5057	Leistes bellicosus		Peruvian Meadowlark	Icteridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5058	Leistes defilippii		Pampas Meadowlark	Icteridae		nan	nan	nan	nan	nan	B10K		
5059	Leistes loyca		Long-tailed Meadowlark	Icteridae		nan	nan	nan	nan	nan	B10K		
5062	Leistes superciliaris		White-browed Blackbird	Icteridae		nan	nan	nan	nan	nan	B10K		
5065	Lepidocolaptes albolineatus	albolineatus	Lineated Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5072	Lepidogrammus cumingi		Scale-feathered Malkoha	Cuculidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5088	Leptasthenura fuliginiceps	paranensis	Brown-capped Tit Spinetail	Furnariidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5097	Leptocoma calcostetha		Copper-throated Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
5098	Leptocoma minima		Crimson-backed Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
5099	Leptocoma sperata	henkei	Purple-throated Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5110	Leptoptilos crumenifer		Marabou	Ciconiidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5116	Leptotila conoveri		Tolima Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
5119	Leptotila ochraceiventris		Ochre-bellied Dove	Columbidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5120	Leptotila pallida		Pallid Dove	Columbidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5124	Leptotila wellsi		Grenada Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
5135	Leucogeranus leucogeranus		Siberian Crane	Gruidae		nan	nan	nan	nan	nan	B10K		
5159	Lichenostomus melanops	cassidix	Yellow-tufted Honeyeater	Meliphagidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5203	Lobotos lobatus		Western Wattled Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
5211	Locustella certhiola	certhiola	Rusty-rumped Warbler	Locustellidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5222	Locustella naevia	obscurior	Grasshopper Warbler	Locustellidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5236	Lonchura fuscata		Timor Sparrow	Estrildidae		nan	nan	nan	nan	nan	B10K		
5269	Lophorina intercedens		Growling Riflebird	Paradisaeidae		nan	nan	nan	nan	nan	B10K		
5271	Lophorina paradisea		Paradise Riflebird	Paradisaeidae		nan	nan	nan	nan	nan	B10K		
5273	Lophorina victoriae		Victoria's Riflebird	Paradisaeidae		nan	nan	nan	nan	nan	B10K		
5296	Lophozosterops crassirostris		Thick-billed White-eye	Zosteropidae		nan	nan	nan	nan	nan	B10K		
5297	Lophozosterops dohertyi		Crested White-eye	Zosteropidae		nan	nan	nan	nan	nan	B10K		
5300	Lophozosterops muelleri		Spot-breasted White-eye	Zosteropidae		nan	nan	nan	nan	nan	B10K		
5301	Lophozosterops pinaiae		Grey-hooded White-eye	Zosteropidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5303	Lophozosterops squamifrons		Pygmy White-eye	Zosteropidae		nan	nan	nan	nan	nan	B10K		
5305	Lophozosterops wallacei		Yellow-spectacled White-eye	Zosteropidae		nan	nan	nan	nan	nan	B10K		
5322	Loriculus philippensis	philippensis	Colasisi	Psittaculidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
5339	Loxia megaplaga		Hispaniola Crossbill	Fringillidae		nan	nan	nan	nan	nan	B10K		
5348	Loxops ochraceus		Maui Akepa	Fringillidae		nan	nan	nan	nan	nan	B10K		
5349	Loxops wolstenholmei		Oahu Akepa	Fringillidae		nan	nan	nan	nan	nan	B10K		
5355	Luscinia phaenicuroides		White-bellied Redstart	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5357	Lybius chaplini		Chaplin's Barbet	Ramphastidae		nan	nan	nan	nan	nan	B10K		
5358	Lybius guifsobalito		Black-billed Barbet	Ramphastidae		nan	nan	nan	nan	nan	B10K		
5359	Lybius leucocephalus		White-headed Barbet	Ramphastidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5360	Lybius rubrifacies		Red-faced Barbet	Ramphastidae		nan	nan	nan	nan	nan	B10K		
5362	Lybius undatus		Banded Barbet	Ramphastidae		nan	nan	nan	nan	nan	B10K		
5368	Lyncornis temminckii		Malaysian Eared Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
5379	Machetornis rixosa	rixosus	Cattle Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5388	Macroagelaius subalaris	imthurni	Mountain Grackle	Icteridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5396	Macronyx aurantiigula		Pangani Longclaw	Motacillidae		nan	nan	nan	nan	nan	B10K		
5399	Macronyx flavicollis		Abyssinian Longclaw	Motacillidae		nan	nan	nan	nan	nan	B10K		
5402	Macronyx sharpei		Sharpe's Longclaw	Motacillidae		nan	nan	nan	nan	nan	B10K		
5403	Macropsalis forcipata		Long-trained Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
5406	Macropygia emiliana		Ruddy Cuckoo Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
5408	Macropygia magna		Dusky Cuckoo Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
5411	Macropygia rufipennis		Andaman Cuckoo Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
5414	Macrosphenus concolor		Grey Longbill	Macrosphenidae		nan	nan	nan	nan	nan	B10K		
5416	Macrosphenus kempi		Kemp's Longbill	Macrosphenidae		nan	nan	nan	nan	nan	B10K		
5418	Macrosphenus pulitzeri		Pulitzer's Longbill	Macrosphenidae		nan	nan	nan	nan	nan	B10K		
5422	Malacocincla perspicillata		Black-browed Babbler	Pellorneidae		nan	nan	nan	nan	nan	B10K		
5427	Malaconotus cruentus		Fiery-breasted Bush-shrike	Malaconotidae		nan	nan	nan	nan	nan	B10K		
5428	Malaconotus gladiator		Green-breasted Bush-shrike	Malaconotidae		nan	nan	nan	nan	nan	B10K		
5429	Malaconotus lagdeni		Lagden's Bush-shrike	Malaconotidae		nan	nan	nan	nan	nan	B10K		
5430	Malaconotus monteiri		Monteiro's Bush-shrike	Malaconotidae		nan	nan	nan	nan	nan	B10K		
5439	Malacoptila mystacalis		Moustached Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
5447	Malimbus ballmanni		Tai Malimbe	Ploceidae		nan	nan	nan	nan	nan	B10K		
5457	Malindangia mcgregori		McGregor's Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
5502	Mearnsia novaeguineae		Papuan Spinetailed Swift	Apodidae		nan	nan	nan	nan	nan	B10K		
5503	Mearnsia picina		Philippine Spinetailed Swift	Apodidae		nan	nan	nan	nan	nan	B10K		
5517	Megalampitta gigantea		Greater Melampitta	Melampittidae		nan	nan	nan	nan	nan	B10K		
5527	Megapodius forsteni		Forsten's Megapode	Megapodiidae		nan	nan	nan	nan	nan	B10K		
5532	Megapodius nicobariensis		Nicobar Megapode	Megapodiidae		nan	nan	nan	nan	nan	B10K		
5553	Megascops roboratus	pacificus	Peruvian Screech Owl	Strigidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
5555	Megascops seductus		Balsas Screech Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
5565	Melaenornis annamarulae		Nimba Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5591	Melanerpes pulcher		Beautiful Woodpecker	Picidae		nan	nan	nan	nan	nan	B10K		
5598	Melaniparus afer	cinerascens	Grey Tit	Paridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5609	Melaniparus niger	carpi	Southern Black Tit	Paridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5613	Melanitta fusca	deglandi	Velvet Scoter	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5614	Melanitta nigra	americana	Common Scoter	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5631	Melanodryas westralensis		Western Hooded Robin	Petroicidae		nan	nan	nan	nan	nan	B10K		
5632	Melanopareia elegans	paucalensis	Elegant Crescent-chest	Melanopareiidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5633	Melanopareia elegans	paucalensis	Elegant Crescent-chest	Melanopareiidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5689	Melithreptus chloropsis		Swan River Honeyeater	Meliphagidae		nan	nan	nan	nan	nan	B10K		
5702	Melopyrrha violacea		Greater Antillean Bullfinch	Thraupidae		nan	nan	nan	nan	nan	B10K		
5715	Mergus australis		Auckland Island Merganser	Anatidae		nan	nan	nan	nan	nan	B10K		
5729	Merops lafresnayii		Cinnamon-chested Bee-eater	Meropidae		nan	nan	nan	nan	nan	B10K		
5734	Merops nubicoides		Southern Carmine Bee-eater	Meropidae		nan	nan	nan	nan	nan	B10K		
5752	Mesopicos elliotii		Elliot's Woodpecker	Picidae		nan	nan	nan	nan	nan	B10K		
5753	Mesopicos goertae		Grey Woodpecker	Picidae		nan	nan	nan	nan	nan	B10K		
5754	Mesopicos griseocephalus		Olive Woodpecker	Picidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5755	Metabolus godeffroyi		Yap Monarch	Monarchidae		nan	nan	nan	nan	nan	B10K		
5757	Metabolus takatsukasae		Tinian Monarch	Monarchidae		nan	nan	nan	nan	nan	B10K		
5771	Metriopelia melanoptera	melanoptera	Black-winged Ground Dove	Columbidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5792	Microcerculus philomela		Nightingale Wren	Troglodytidae		nan	nan	nan	nan	nan	B10K		
5795	Microdynamis parva		Dwarf Koel	Cuculidae		nan	nan	nan	nan	nan	B10K		
5798	Microeca hemixantha		Golden-bellied Robin	Petroicidae		nan	nan	nan	nan	nan	B10K		
5799	Microgoura meeki		Choiseul Pigeon	Columbidae		nan	nan	nan	nan	nan	B10K		
5822	Microspingus erythrophrys	erythrophrys	Rusty-browed Warbling Finch	Thraupidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5828	Microtarsus melanoleucos		Black-and-white Bulbul	Pycnonotidae		nan	nan	nan	nan	nan	B10K		
5835	Mimus gilvus	melanopterus	Tropical Mockingbird	Mimidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5859	Mirafra albicauda		White-tailed Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5862	Mirafra ashi		Ash's Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5863	Mirafra assamica	assamica	Bengal Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5866	Mirafra collaris		Collared Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5867	Mirafra cordofanica		Kordofan Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5871	Mirafra gilletti		Gillett's Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5876	Mirafra pulpa		Friedmann's Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5877	Mirafra rufa		Rusty Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5879	Mirafra somalica		Somali Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
5892	Mixornis kelleyi		Grey-faced Tit Babbler	Timaliidae		nan	nan	nan	nan	nan	B10K		
5903	Molothrus bonariensis	bonariensis	Shiny Cowbird	Icteridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5918	Monarcha ugiensis		Makira Monarch	Monarchidae		nan	nan	nan	nan	nan	B10K		
5925	Monticola brevipes	brevipes	Short-toed Rock Thrush	Muscicapidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5929	Monticola imerina		Littoral Rock Thrush	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5940	Morococcyx erythropygus		Lesser Ground Cuckoo	Cuculidae		B10K	B10K	B10K	nan	in_progress	B10K		
5949	Motacilla capensis	capensis	Cape Wagtail	Motacillidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
5961	Mulleripicus funebris	funebris	Sooty Woodpecker	Picidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
5970	Muscicapa epulata		Little Grey Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5978	Muscicapa randi		Ashy-breasted Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5980	Muscicapa segregata		Sumba Brown Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
5999	Muscisaxicola maculirostris	maculirostris	Spot-billed Ground Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6004	Myadestes lanaiensis		Olomao	Turdidae		nan	nan	nan	nan	nan	B10K		
6009	Myadestes palmeri		Puaiohi	Turdidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6055	Myiarchus tuberculifer	nigricapillus	Dusky-capped Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6056	Myiarchus tyrannulus	tyrannulus	Brown-crested Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6066	Myioborus brunniceps	brunniceps	Brown-capped Whitestart	Parulidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6084	Myiopagis cotta		Jamaican Elaenia	Tyrannidae		nan	nan	nan	nan	nan	B10K		
6093	Myiophobus fasciatus	fasciatus	Bran-colored Flycatcher	Tyrannidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
6108	Myiothlypis basilica		Santa Marta Warbler	Parulidae		nan	nan	nan	nan	nan	B10K		
6109	Myiothlypis bivittata	roraimae	Two-banded Warbler	Parulidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6125	Myiozetetes cayanensis	cayanensis	Rusty-margined Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6126	Myiozetetes granadensis	granadensis	Gray-capped Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6127	Myiozetetes luteiventris	luteiventris	Dusky-chested Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6128	Myiozetetes similis	grandis	Social Flycatcher	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6129	Myophonus blighi		Sri Lanka Whistling Thrush	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6132	Myophonus horsfieldii		Malabar Whistling Thrush	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6135	Myophonus robinsoni		Malayan Whistling Thrush	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6142	Myrmecocichla monticola	monticola	Mountain Wheatear	Muscicapidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6143	Myrmecocichla monticola		Mountain Wheatear	Muscicapidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6169	Myrmothera campanisona	dissors	Thrush-like Antpitta	Grallariidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6208	Myzomela dammermani		Sumba Myzomela	Meliphagidae		nan	nan	nan	nan	nan	B10K		
6235	Neafrapus boehmi		Böhm's Spinetailed Swift	Apodidae		nan	nan	nan	nan	nan	B10K		
6238	Nectarinia bocagii		Bocage's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
6242	Nectarinia purpureiventris		Purple-breasted Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
6244	Nemosia pileata	surinamensis	Hooded Tanager	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6245	Nemosia rourei		Cherry-throated Tanager	Thraupidae		nan	nan	nan	nan	nan	B10K		
6252	Neocossyphus poensis	poensis	White-tailed Ant Thrush	Turdidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
6254	Neocrex colombiana		Colombian Crake	Rallidae		nan	nan	nan	nan	nan	B10K		
6265	Neomorphus pucheranii		Red-billed Ground Cuckoo	Cuculidae		nan	nan	nan	nan	nan	B10K		
6266	Neomorphus radiolosus		Banded Ground Cuckoo	Cuculidae		nan	nan	nan	nan	nan	B10K		
6274	Neophedina cincta		Banded Martin	Hirundinidae		B10K	B10K	B10K	nan	in_progress	B10K		
6318	Nestor productus		Norfolk Island Kaka	Strigopidae		nan	nan	nan	nan	nan	B10K		
6330	Nicator gularis		Eastern Nicator	Nicatoridae		nan	nan	nan	nan	nan	B10K		
6332	Nigrita bicolor	brunnescens	Chestnut-breasted Negrofinch	Estrildidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6340	Niltava sumatrana		Rufous-vented Niltava	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6343	Ninox affinis		Andaman Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6345	Ninox burhani		Togian Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6347	Ninox forbesi		Tanimbar Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6349	Ninox ios		Cinnabar Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6353	Ninox leventisi		Camiguin Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6355	Ninox meeki		Manus Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6356	Ninox mindorensis		Mindoro Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6359	Ninox ochracea		Ochre-bellied Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6360	Ninox odiosa		Russet Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6362	Ninox punctulata		Speckled Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6363	Ninox randi		Philippine Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6364	Ninox reyi		Sulu Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6367	Ninox rumseyi		Cebu Boobook	Strigidae		nan	nan	nan	nan	nan	B10K		
6386	Nonnula amaurocephala		Chestnut-headed Nunlet	Bucconidae		nan	nan	nan	nan	nan	B10K		
6388	Nonnula frontalis		Gray-cheeked Nunlet	Bucconidae		nan	nan	nan	nan	nan	B10K		
6391	Nonnula sclateri		Fulvous-chinned Nunlet	Bucconidae		nan	nan	nan	nan	nan	B10K		
6394	Notharchus macrorhynchos	macrorhynchos	Guianan Puffbird	Bucconidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6395	Notharchus ordii		Brown-banded Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
6396	Notharchus pectoralis		Black-breasted Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
6397	Notharchus swainsoni		Buff-bellied Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
6439	Nyctidromus albicollis	albicollis	Common Pauraque	Caprimulgidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
6446	Nyctipolus hirundinaceus		Pygmy Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
6449	Nyctiprogne vielliardi		Bahian Nighthawk	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
6451	Nyctyornis athertoni	brevicaudata	Blue-bearded Bee-eater	Meropidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6456	Nystalus radiatus		Barred Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
6463	Ochetorhynchus ruficaudus	ruficaudus	Straight-billed Earthcreeper	Furnariidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6466	Ochthoeca leucophrys	tucumana	White-browed Chat Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6467	Ochthoeca oenanthoides	oenanthoides	D'Orbigny's Chat Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6493	Odontorchilus branickii		Gray-mantled Wren	Troglodytidae		nan	nan	nan	nan	nan	B10K		
6499	Oenanthe albifrons		White-fronted Black Chat	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6505	Oenanthe dubia		Sombre Rock Chat	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6509	Oenanthe heuglinii		Heuglin's Wheatear	Muscicapidae		nan	nan	nan	nan	nan	B10K		
6548	Ophrysia superciliosa		Himalayan Quail	Phasianidae		nan	nan	nan	nan	nan	B10K		
6572	Oreotrochilus adela		Wedge-tailed Hillstar	Trochilidae		nan	nan	nan	nan	nan	B10K		
6613	Orochelidon andecola		Andean Swallow	Hirundinidae		nan	nan	nan	nan	nan	B10K		
6614	Orochelidon flavipes		Pale-footed Swallow	Hirundinidae		nan	nan	nan	nan	nan	B10K		
6616	Orospingus goeringi		Slaty-backed Hemispingus	Thraupidae		nan	nan	nan	nan	nan	B10K		
6617	Orospingus rufosuperciliaris		Rufous-browed Hemispingus	Thraupidae		nan	nan	nan	nan	nan	B10K		
6618	Ortalis araucuan		East Brazilian Chachalaca	Cracidae		nan	nan	nan	nan	nan	B10K		
6621	Ortalis columbiana		Colombian Chachalaca	Cracidae		nan	nan	nan	nan	nan	B10K		
6629	Ortalis squamata		Scaled Chachalaca	Cracidae		nan	nan	nan	nan	nan	B10K		
6630	Ortalis superciliaris		Buff-browed Chachalaca	Cracidae		nan	nan	nan	nan	nan	B10K		
6653	Ortygospiza fuscocrissa		African Quailfinch	Estrildidae		nan	nan	nan	nan	nan	B10K		
6654	Ortygospiza gabonensis		Black-chinned Quailfinch	Estrildidae		nan	nan	nan	nan	nan	B10K		
6655	Ortyxelos meiffrenii		Quail-plover	Turnicidae		nan	nan	nan	nan	nan	B10K		
6658	Otocichla mupinensis		Chinese Thrush	Turdidae		B10K	B10K	B10K	nan	in_progress	B10K		
6659	Otus alfredi		Flores Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6660	Otus alius		Nicobar Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6663	Otus balli		Andaman Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6664	Otus beccarii		Biak Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6665	Otus brookii		Rajah Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6668	Otus collari		Sangir Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6671	Otus fuliginosus		Palawan Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6673	Otus icterorhynchus		Sandy Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6677	Otus magicus		Moluccan Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6678	Otus manadensis		Sulawesi Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6679	Otus mantananensis		Mantanani Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6682	Otus mentawi		Mentawai Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6686	Otus nigrorum		Visayan Lowland Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6691	Otus sagittatus		White-fronted Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6694	Otus silvicola		Wallace's Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6697	Otus thilohoffmanni		Serendib Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6698	Otus umbra		Simeulue Scops Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
6759	Pachyramphus albogriseus	salvini	Black-and-white Becard	Tityridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6762	Pachyramphus homochrous	homochrous	One-colored Becard	Tityridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6764	Pachyramphus marginatus	nanus	Black-capped Becard	Tityridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6772	Pachyramphus validus	audax	Crested Becard	Tityridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6780	Paludipasser locustella		Locust Finch	Estrildidae		nan	nan	nan	nan	nan	B10K		
6786	Panyptila cayennensis		Lesser Swallow-tailed Swift	Apodidae		B10K	B10K	B10K	nan	in_progress	B10K		
6787	Panyptila sanctihieronymi		Great Swallow-tailed Swift	Apodidae		nan	nan	nan	nan	nan	B10K		
6799	Paradoxornis flavirostris		Black-breasted Parrotbill	Sylviidae		nan	nan	nan	nan	nan	B10K		
6815	Pareudiastes silvestris		Makira Moorhen	Rallidae		nan	nan	nan	nan	nan	B10K		
6829	Paroaria nigrogenis		Masked Cardinal	Thraupidae		nan	nan	nan	nan	nan	B10K		
6831	Paroreomyza flammea		Kakawahie	Fringillidae		nan	nan	nan	nan	nan	B10K		
6832	Paroreomyza maculata		Oahu Alauahio	Fringillidae		nan	nan	nan	nan	nan	B10K		
6846	Passer cinnamomeus		Russet Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6847	Passer cordofanicus		Kordofan Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6852	Passer euchlorus		Arabian Golden Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6854	Passer griseus	diffusus	Northern Grey-headed Sparrow	Passeridae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
6866	Passer pyrrhonotus		Sind Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6868	Passer yatii		Afghan Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6869	Passer zarudnyi		Sarudny's Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
6902	Pauxi koepckeae		Sira Curassow	Cracidae		nan	nan	nan	nan	nan	B10K		
6932	Pellorneum fuscocapillus		Brown-capped Babbler	Pellorneidae		nan	nan	nan	nan	nan	B10K		
6948	Penelope ortoni		Baudo Guan	Cracidae		nan	nan	nan	nan	nan	B10K		
6949	Penelope perspicax		Cauca Guan	Cracidae		nan	nan	nan	nan	nan	B10K		
6954	Penelopides panini	manillae	Tarictic Hornbill	Bucerotidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
6963	Perdicula argoondah		Rock Bush Quail	Phasianidae		nan	nan	nan	nan	nan	B10K		
6976	Pericrocotus flammeus	fraterculus	Scarlet Minivet	Campephagidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6986	Perisoreus canadensis	griseus	Gray Jay	Corvidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6999	Petrochelidon perdita		Red Sea Swallow	Hirundinidae		nan	nan	nan	nan	nan	B10K		
