ncbi_taxon_id	species	subspecies	family	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	in_progress	insdc_open	published	sample_collected	sample_acquired
1307805	Acarospora socialis		Acarosporaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
1240363	Acmispon strigosus		Fabaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
335395	Actinemys marmorata		Emydidae	publication_available	https://doi.org/10.1093/jhered/esac021	CCGP			published	CCGP	CCGP	CCGP	CCGP	CCGP
1485138	Actinemys pallida		Emydidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
9191	Agelaius tricolor		Icteridae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
30325	Anaxyrus boreas		Bufonidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
2202111	Anniella stebbinsi		Anniellidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
160748	Anthopleura sola		Actiniidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
1284180	Aptostichus stephencolberti		Euctenizidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
8962	Aquila chrysaetos		Accipitridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
1291435	Aquilegia eximia		Ranunculaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
89197	Arctostaphylos glauca		Ericaceae	publication_available	https://doi.org/10.1093/jhered/esab071	CCGP			published	CCGP	CCGP	CCGP	CCGP	CCGP
2067768	Ariolimax columbianus		Arionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
171875	Aristolochia californica		Aristolochiaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
94893	Arizona elegans		Colubridae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
198938	Artemisiospiza belli		Passerellidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
52180	Aspidoscelis tigris		Teiidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
122619	Asterella californica		Aytoniaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
336972	Azolla microphylla		Salviniaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
