ncbi_taxon_id	species	phylum	class	family	target_list_status	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	insdc_open	published	sample_collected	sample_acquired	in_progress
6063	Halichondria panicea	Porifera	Demospongiae	Halichondriidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
289389	Aplysina aerophoba	Porifera	Demospongiae	Aplysinidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
6052	Ephydatia muelleri	Porifera	Demospongiae	Spongillidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
400682	Amphimedon queenslandica	Porifera	Demospongiae	Niphatidae	family_representative	publication_available	10.1038/nature09201	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
45351	Nematostella vectensis	Cnidaria	Anthozoa	Edwardsiidae	family_representative	publication_available	10.1126/science.1139158	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
6087	Hydra vulgaris	Cnidaria	Hydrozoa	Hydridae	family_representative	publication_available	10.1126/sciadv.abi5884	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
45264	Acropora milleporia	Cnidaria	Anthozoa	Acroporidae	family_representative	publication_available	10.1126/science.aba4674	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
10201	Beroe ovata	Ctenophora	Nuda	Beroidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
27923	Mnemiopsis leidyi	Ctenophora	Tentaculata	Bolinopsidae	family_representative	publication_available	10.1126/science.1242592	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
34499	Pleurobrachia bachei	Ctenophora	Tentaculata	Pleurobrachiidae	family_representative	publication_available	10.1038/nature13400	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
283909	Capitella teleta	Annelida	Polychaeta	Capitellidae	family_representative	publication_available	10.1038/nature11696	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
2664684	Dimorphilus gycrociliatus	Annelida	Polychaeta	Dinophilidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
6412	Helobdella robusta	Annelida	Clitellata	Glossiphoniidae	family_representative	publication_available	10.1038/nature11696	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
104711	Lamellibrachia satsuma	Annelida	Polychaeta	Siboglinidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
